gene_name	biotype	mat	pat
LOC107985729	protein_coding	True	True
VWA1	protein_coding	True	True
ATAD3C	protein_coding	True	True
ATAD3B	protein_coding	True	True
ATAD3A	protein_coding	True	True
TMEM240	protein_coding	True	True
SSU72	protein_coding	True	True
FNDC10	protein_coding	True	True
LOC105378586	lncRNA	True	True
MIB2	protein_coding	True	True
LOC124903821	lncRNA	True	True
MMP23B	protein_coding	True	True
CDK11B	protein_coding	True	True
SLC35E2B	protein_coding	True	True
LOC100288379	pseudogene	True	True
LOC112268218	lncRNA	True	True
MMP23A	transcribed_pseudogene	True	True
CDK11A	protein_coding	True	True
SLC35E2A	transcribed_pseudogene	True	True
LOC100129381	pseudogene	True	True
NADK	protein_coding	True	True
GNB1	protein_coding	True	True
GNB1-DT	lncRNA	True	True
LOC124903822	lncRNA	True	True
CALML6	protein_coding	True	True
TMEM52	protein_coding	True	True
CFAP74	protein_coding	True	True
LOC107984872	lncRNA	True	True
LOC105378589	lncRNA	True	True
GABRD	protein_coding	True	True
LOC105378590	lncRNA	True	True
PRKCZ	protein_coding	True	True
PRKCZ-DT	lncRNA	True	True
PRKCZ-AS1	lncRNA	True	True
FAAP20	protein_coding	True	True
LOC112268219	lncRNA	True	True
LOC105378593	lncRNA	True	True
LOC124903823	lncRNA	True	True
SKI	protein_coding	True	True
LOC124903824	lncRNA	True	True
MORN1	protein_coding	True	True
LOC100129534	transcribed_pseudogene	True	True
RER1	protein_coding	True	True
PEX10	protein_coding	True	True
PLCH2	protein_coding	True	True
PANK4	protein_coding	True	True
HES5	protein_coding	True	True
TNFRSF14-AS1	lncRNA	True	True
TNFRSF14	protein_coding	True	True
LOC100996583	lncRNA	True	True
PRXL2B	protein_coding	True	True
MMEL1	protein_coding	True	True
MMEL1-AS1	lncRNA	True	True
TTC34	protein_coding	True	True
LOC105378602	lncRNA	True	True
LOC107985732	lncRNA	True	True
LOC105378601	lncRNA	True	True
LOC107984904	lncRNA	True	True
LOC105378599	lncRNA	True	True
LOC105378600	lncRNA	True	True
LOC112268220	lncRNA	True	False
LOC124903825	lncRNA	True	True
LOC124903826	lncRNA	True	True
ACTRT2	protein_coding	True	True
LOC124903827	protein_coding	True	True
PRDM16-DT	lncRNA	True	True
PRDM16	protein_coding	True	True
LOC100420339	pseudogene	True	True
MIR4251	miRNA	True	True
LOC105378606	lncRNA	True	True
LOC107984909	lncRNA	True	True
LOC105378605	lncRNA	True	True
LOC124903828	protein_coding	True	True
LOC105378604	lncRNA	True	True
ARHGEF16	protein_coding	True	True
MEGF6	protein_coding	True	True
LOC105378608	lncRNA	True	True
MIR551A	miRNA	True	True
TPRG1L	protein_coding	True	True
WRAP73	protein_coding	True	True
TP73	protein_coding	True	True
TP73-AS3	lncRNA	True	True
TP73-AS1	lncRNA	True	True
CCDC27	protein_coding	True	True
SMIM1	protein_coding	True	True
LRRC47	protein_coding	True	True
RN7SL574P	pseudogene	True	True
CEP104	protein_coding	True	True
LOC124903829	lncRNA	True	True
DFFB	protein_coding	True	True
C1orf174	protein_coding	True	True
LINC01134	lncRNA	True	True
LINC01346	lncRNA	True	True
LINC01345	lncRNA	True	True
EEF1DP6	pseudogene	True	True
LINC01777	lncRNA	True	True
LOC105376674	lncRNA	True	True
LOC124904578	lncRNA	True	True
LINC01646	lncRNA	True	True
AJAP1	protein_coding	True	True
LINC02781	lncRNA	True	True
LOC124904589	lncRNA	True	True
LOC102724429	lncRNA	True	True
LINC02782	lncRNA	True	True
LOC105376682	lncRNA	True	True
LOC124904590	lncRNA	True	True
LOC107984911	lncRNA	True	True
LOC105376686	lncRNA	True	True
LOC124900451	snoRNA	True	True
LOC124903830	lncRNA	True	True
MIR4689	miRNA	True	True
NPHP4	protein_coding	True	True
KCNAB2	protein_coding	True	True
LOC124903831	lncRNA	True	True
CHD5	protein_coding	True	True
RPL22	protein_coding	True	True
RNF207-AS1	lncRNA	True	True
RNF207	protein_coding	True	True
ICMT	protein_coding	True	True
ICMT-DT	lncRNA	True	True
HES3	protein_coding	True	True
GPR153	protein_coding	True	True
ACOT7	protein_coding	True	True
HES2	protein_coding	True	True
ESPN	protein_coding	True	True
MIR4252	miRNA	True	True
TNFRSF25	protein_coding	True	True
PLEKHG5	protein_coding	True	True
NOL9	protein_coding	True	True
RNU6-731P	pseudogene	True	True
TAS1R1	protein_coding	True	True
LOC107984912	lncRNA	True	True
ZBTB48	protein_coding	True	True
KLHL21	protein_coding	True	True
LOC107984913	lncRNA	True	True
PHF13	protein_coding	True	True
THAP3	protein_coding	True	True
DNAJC11	protein_coding	True	True
LINC01672	lncRNA	True	True
LOC124904847	snoRNA	True	True
CAMTA1-DT	lncRNA	True	True
CAMTA1	protein_coding	True	True
LOC124903832	lncRNA	True	True
RPL37P9	pseudogene	True	True
RNU1-8P	pseudogene	True	True
LOC124900385	protein_coding	True	True
CAMTA1-AS2	lncRNA	True	True
CAMTA1-AS1	lncRNA	True	True
LOC105376691	lncRNA	True	True
LOC105376689	lncRNA	True	True
VAMP3	protein_coding	True	True
PER3	protein_coding	True	True
LOC124903833	lncRNA	True	True
UTS2	protein_coding	True	True
TNFRSF9	protein_coding	True	True
TRUND-NNN4-1	pseudogene	True	True
PARK7	protein_coding	True	True
LOC124903834	lncRNA	True	True
ERRFI1	protein_coding	True	True
ERRFI1-DT	lncRNA	True	True
RPL7AP18	pseudogene	True	True
LOC107984915	lncRNA	True	True
LOC100129776	pseudogene	True	True
RNU1-7P	pseudogene	True	True
LINC01714	lncRNA	True	True
LOC105376695	lncRNA	True	True
LOC124903835	lncRNA	True	True
RNU6-991P	pseudogene	True	True
SLC45A1	protein_coding	True	True
RERE	protein_coding	True	True
RERE-AS1	lncRNA	True	True
SNORD128	snoRNA	True	True
LOC124900452	snoRNA	True	True
RPL7P11	pseudogene	True	True
RPL7P7	pseudogene	True	True
RPL27P3	pseudogene	True	True
RPL23AP19	pseudogene	True	True
ENO1	protein_coding	True	True
MIR6728	miRNA	True	True
ENO1-AS1	lncRNA	True	True
RNU6-304P	pseudogene	True	True
HMGN2P17	pseudogene	True	True
LOC112268261	lncRNA	True	True
CA6	protein_coding	True	True
RN7SL451P	pseudogene	True	True
SLC2A7	protein_coding	True	True
SLC2A5	protein_coding	True	True
LOC124900441	ncRNA	True	True
GPR157	protein_coding	True	True
MIR34AHG	lncRNA	True	True
MIR34A	miRNA	True	True
LNCTAM34A	lncRNA	True	True
H6PD	protein_coding	True	True
LOC124903836	lncRNA	True	True
SPSB1	protein_coding	True	True
LINC02606	lncRNA	True	True
RNA5SP40	pseudogene	True	True
SLC25A33	protein_coding	True	True
RPL9P11	pseudogene	True	True
TMEM201	protein_coding	True	True
LOC124903837	protein_coding	True	True
PIK3CD	protein_coding	True	True
LOC105376712	lncRNA	True	True
PIK3CD-AS1	lncRNA	True	True
RPL26P7	pseudogene	True	True
PIK3CD-AS2	lncRNA	True	True
LOC124903839	lncRNA	True	True
CLSTN1	protein_coding	True	True
MZT1P1	pseudogene	True	True
CTNNBIP1	protein_coding	True	True
LOC105376717	lncRNA	True	True
LOC124903838	lncRNA	True	True
LZIC	protein_coding	True	True
NMNAT1	protein_coding	True	True
RN7SKP269	pseudogene	True	True
TMEM274P	transcribed_pseudogene	True	True
MIR5697	miRNA	True	True
LOC124903840	protein_coding	True	True
RBP7	protein_coding	True	True
UBE4B	protein_coding	True	True
RPL21P21	pseudogene	True	True
PGAM1P11	pseudogene	True	True
RNU6-828P	pseudogene	True	True
KIF1B	protein_coding	True	True
RNU6-37P	pseudogene	True	True
RN7SL731P	pseudogene	True	True
PGD	protein_coding	True	True
CENPS	protein_coding	True	True
CENPS-CORT	protein_coding	True	True
CORT	protein_coding	True	True
DFFA	protein_coding	True	True
PEX14	protein_coding	True	True
RN7SL614P	pseudogene	True	True
CASZ1	protein_coding	True	True
LOC105376733	lncRNA	True	True
HSPE1P24	pseudogene	True	True
LOC105376735	lncRNA	True	True
C1orf127	protein_coding	True	True
CFL1P6	pseudogene	True	True
TARDBP	protein_coding	True	True
MASP2	protein_coding	True	True
SRM	protein_coding	True	True
EXOSC10	protein_coding	True	True
EXOSC10-AS1	lncRNA	True	True
MTOR	protein_coding	True	True
MTOR-AS1	lncRNA	True	True
RNU6-537P	pseudogene	True	True
LOC124904848	snoRNA	True	True
ANGPTL7	protein_coding	True	True
RNU6-291P	pseudogene	True	True
RPL39P6	pseudogene	True	True
UBIAD1	protein_coding	True	True
UBE2V2P3	pseudogene	True	True
LOC105376737	lncRNA	True	True
LOC105376739	lncRNA	True	True
LOC105376740	lncRNA	True	True
LOC124903841	lncRNA	True	True
MTCYBP45	pseudogene	True	True
DISP3	protein_coding	True	True
LOC124903842	lncRNA	True	True
LINC01647	lncRNA	True	True
FBXO2	protein_coding	True	True
FBXO44	protein_coding	True	True
FBXO6	protein_coding	True	True
MAD2L2	protein_coding	True	True
DRAXIN	protein_coding	True	True
AGTRAP	protein_coding	True	True
LOC101060126	pseudogene	True	True
C1orf167	protein_coding	True	True
C1orf167-AS1	lncRNA	True	True
MTHFR	protein_coding	True	True
CLCN6	protein_coding	True	True
NPPA-AS1	antisense_RNA	True	True
NPPA	protein_coding	True	True
NPPB	protein_coding	True	True
SBF1P2	pseudogene	True	True
RNU5E-1	snRNA	True	True
RNU5E-4P	pseudogene	True	True
LOC124903843	lncRNA	True	True
KIAA2013	protein_coding	True	True
PLOD1	protein_coding	True	True
MFN2	protein_coding	True	True
MIIP	protein_coding	True	True
MIR6729	miRNA	True	True
RN7SL649P	pseudogene	True	True
TNFRSF8	protein_coding	True	True
RNU6-777P	pseudogene	True	True
RPL23AP89	pseudogene	True	True
MIR7846	miRNA	True	True
TNFRSF1B	protein_coding	True	True
LOC124903844	lncRNA	True	True
MIR4632	miRNA	False	False
RPL10P17	pseudogene	True	True
LOC124900427	pseudogene	True	True
VPS13D	protein_coding	True	True
LOC124903845	lncRNA	True	True
LOC124904680	pseudogene	True	True
SNORA59A	snoRNA	True	True
LINC02766	lncRNA	True	True
DHRS3	protein_coding	True	True
RNU6ATAC18P	pseudogene	True	True
MIR6730	miRNA	True	True
AADACL4	protein_coding	True	True
LOC124903846	lncRNA	True	True
AADACL3	protein_coding	True	True
LOC124904811	snoRNA	True	True
CFAP107	protein_coding	True	True
PRAMEF12	protein_coding	True	True
PRAMEF1	protein_coding	True	True
LINC01784	lncRNA	True	True
PRAMEF11	protein_coding	True	True
PRAMEF30P	pseudogene	True	True
HNRNPCL1	protein_coding	True	True
PRAMEF2	protein_coding	True	True
PRAMEF4	protein_coding	True	True
PRAMEF10	protein_coding	True	True
PRAMEF7	protein_coding	True	True
RNU6-1072P	pseudogene	True	True
PRAMEF29P	pseudogene	True	True
PRAMEF6	protein_coding	True	True
PRAMEF31P	pseudogene	True	True
PRAMEF18	protein_coding	True	True
PRAMEF28P	pseudogene	True	True
PRAMEF9	protein_coding	True	True
HNRNPCL3	protein_coding	True	True
PRAMEF25	protein_coding	True	True
PRAMEF34P	transcribed_pseudogene	True	True
HNRNPCL2	protein_coding	True	True
PRAMEF35P	pseudogene	True	True
PRAMEF36P	transcribed_pseudogene	True	True
PRAMEF5	protein_coding	True	True
PRAMEF32P	pseudogene	True	True
RNU6-771P	pseudogene	True	True
PRAMEF8	protein_coding	True	True
PRAMEF33	protein_coding	True	True
PRAMEF15	protein_coding	True	True
PRAMEF14	protein_coding	True	True
PRAMEF19	protein_coding	True	True
PRAMEF17	protein_coding	True	True
PRAMEF20	protein_coding	True	True
LRRC38	protein_coding	True	True
LOC102724856	lncRNA	True	True
LOC107984918	lncRNA	True	True
BRWD1P1	pseudogene	True	True
PDPN	protein_coding	True	True
RNA5SP41	pseudogene	True	True
LOC105378612	lncRNA	True	True
LOC105376756	lncRNA	True	True
LOC124900446	ncRNA	True	True
PRDM2	protein_coding	True	True
KAZN	protein_coding	True	True
RNU6-1265P	pseudogene	True	True
LOC107985467	lncRNA	True	True
LOC124903847	lncRNA	True	True
KAZN-AS1	lncRNA	True	True
LOC124903850	lncRNA	True	True
TBCAP2	pseudogene	True	True
LOC105376759	lncRNA	True	True
LOC124903848	lncRNA	True	True
LOC107985469	lncRNA	True	True
LOC124903849	lncRNA	True	True
TMEM51-AS1	lncRNA	True	True
TMEM51	protein_coding	True	True
TMEM51-AS2	lncRNA	True	True
MFFP1	pseudogene	True	True
ZBTB2P1	pseudogene	True	True
FHAD1	protein_coding	True	True
LOC124903853	lncRNA	True	True
LOC124903852	lncRNA	True	True
FHAD1-AS1	lncRNA	True	True
LOC124903851	lncRNA	True	True
EFHD2-AS1	lncRNA	True	True
EFHD2	protein_coding	True	True
CTRC	protein_coding	True	True
CELA2A	protein_coding	True	True
LOC105376767	lncRNA	True	True
CELA2B	protein_coding	True	True
CASP9	protein_coding	True	True
DNAJC16	protein_coding	True	True
SCARNA21B	ncRNA	True	True
AGMAT	protein_coding	True	True
LOC124903854	lncRNA	True	True
CHCHD2P6	pseudogene	True	True
RNU7-179P	pseudogene	True	True
CD24P1	pseudogene	True	True
DDI2	protein_coding	True	True
RSC1A1	protein_coding	True	True
PLEKHM2	protein_coding	True	True
SLC25A34	protein_coding	True	True
SLC25A34-AS1	lncRNA	True	True
TMEM82	protein_coding	True	True
FBLIM1	protein_coding	True	True
RPL12P14	pseudogene	True	True
UQCRHL	protein_coding	True	True
SPEN-AS1	lncRNA	True	True
SPEN	protein_coding	True	True
LOC124904815	snoRNA	True	True
ZBTB17	protein_coding	True	True
LOC124903855	lncRNA	True	True
SRARP	protein_coding	True	True
HSPB7	protein_coding	True	True
CLCNKA	protein_coding	True	True
FAM131C2P	pseudogene	True	True
CLCNKB	protein_coding	True	True
FAM131C	protein_coding	True	True
EPHA2	protein_coding	True	True
EPHA2-AS1	lncRNA	True	True
ARHGEF19	protein_coding	True	True
ANO7L1	transcribed_pseudogene	True	True
CPLANE2	protein_coding	True	True
MT1XP1	pseudogene	True	True
FBXO42	protein_coding	True	True
SZRD1	protein_coding	True	True
RPL22P3	pseudogene	True	True
SPATA21	protein_coding	True	True
NECAP2	protein_coding	True	True
LINC01772	lncRNA	True	True
CROCCP3	transcribed_pseudogene	True	True
RNU1-1	snRNA	True	True
TRN-GTT5-1	tRNA	True	True
LINC01783	lncRNA	True	True
RNU1-6P	pseudogene	True	True
TRE-TTC4-1	tRNA	True	True
LOC124903856	protein_coding	True	True
TRG-CCC1-1	tRNA	True	True
TRV-CAC11-1	pseudogene	True	True
PDE4DIPP8	pseudogene	True	True
MIR3675	miRNA	True	True
LOC105376832	lncRNA	True	True
LOC101056699	pseudogene	True	True
LOC124900386	protein_coding	True	True
LOC102724562	transcribed_pseudogene	True	True
CROCCP4	pseudogene	True	True
LOC124903859	lncRNA	True	True
LOC124903857	protein_coding	True	True
CROCCP2	transcribed_pseudogene	True	True
MST1P2	transcribed_pseudogene	True	True
LOC124905321	snRNA	True	True
TRN-GTT26-1	tRNA	True	True
RNU1-5P	pseudogene	True	True
TRV-CAC13-1	pseudogene	True	True
LOC124904557	lncRNA	True	True
MST1L	transcribed_pseudogene	True	True
RNU1-4	snRNA	True	True
TRG-CCC4-1	tRNA	True	True
EIF1AXP1	pseudogene	True	True
ESPNP	transcribed_pseudogene	True	True
LOC124903858	lncRNA	True	True
TRG-CCC5-1	tRNA	True	True
LOC440570	lncRNA	True	True
TRNAE-UUC	tRNA	True	True
LOC124904613	snRNA	True	True
RNU1-3	snRNA	True	True
NBPF1	protein_coding	True	True
PDE4DIPP9	pseudogene	True	True
TRV-CAC11-2	pseudogene	True	True
TRG-CCC1-2	tRNA	True	True
LOC124903860	pseudogene	True	True
LOC112267871	lncRNA	True	True
TRE-TTC3-1	tRNA	True	True
LOC107985101	pseudogene	True	True
LOC105376805	lncRNA	True	True
TRN-GTT4-1	tRNA	True	True
RNU1-2	snRNA	True	True
CROCC	protein_coding	True	True
MFAP2	protein_coding	True	True
LOC105376806	lncRNA	True	True
ATP13A2	protein_coding	True	True
SDHB	protein_coding	True	True
PADI2	protein_coding	True	True
LOC124903861	lncRNA	True	True
LOC105376808	lncRNA	True	True
LINC02783	lncRNA	True	True
PADI1	protein_coding	True	True
PADI3	protein_coding	True	True
MIR3972	miRNA	True	True
PADI4	protein_coding	True	True
PADI6	protein_coding	True	True
RCC2	protein_coding	True	True
RCC2-AS1	antisense_RNA	True	True
LOC124903862	lncRNA	True	True
LOC124904837	snoRNA	True	True
ARHGEF10L	protein_coding	True	True
LINC02810	lncRNA	True	True
ACTL8	protein_coding	True	True
LOC105376809	lncRNA	True	True
LOC105376812	lncRNA	True	True
LINC01654	lncRNA	True	True
IGSF21	protein_coding	True	True
IGSF21-AS1	lncRNA	True	True
LOC124903864	lncRNA	True	True
LOC124903863	lncRNA	True	True
LOC124903865	lncRNA	True	True
KLHDC7A	protein_coding	True	True
DYNLL1P3	pseudogene	True	True
PAX7	protein_coding	True	True
TAS1R2	protein_coding	True	True
ALDH4A1	protein_coding	True	True
MIR4695	miRNA	True	True
MIR1290	miRNA	True	True
LOC124903866	lncRNA	True	True
IFFO2	protein_coding	True	True
LOC105376815	lncRNA	True	True
UBR4	protein_coding	True	True
EMC1-AS1	lncRNA	True	True
EMC1	protein_coding	True	True
MRTO4	protein_coding	True	True
AKR7L	transcribed_pseudogene	True	True
AKR7A3	protein_coding	True	True
LOC124903867	lncRNA	True	True
LOC100506730	lncRNA	True	True
AKR7A2	protein_coding	True	True
RNU6-1099P	pseudogene	True	True
SLC66A1	protein_coding	True	True
CAPZB	protein_coding	True	True
LOC124903868	lncRNA	True	True
RN7SL277P	pseudogene	True	True
LOC124903869	lncRNA	True	True
LOC105376819	lncRNA	True	True
LOC105376818	lncRNA	True	True
RNU4-28P	pseudogene	True	True
LOC105376817	lncRNA	True	True
LOC124904816	snoRNA	True	True
MICOS10-DT	lncRNA	True	True
MICOS10	protein_coding	True	True
MICOS10-NBL1	protein_coding	True	True
RPS14P3	transcribed_pseudogene	True	True
NBL1	protein_coding	True	True
HTR6	protein_coding	True	True
TMCO4	protein_coding	True	True
RNF186	protein_coding	True	True
LOC105376823	lncRNA	True	True
OTUD3	protein_coding	True	True
PLA2G2E	protein_coding	True	True
RN7SL304P	pseudogene	True	True
PLA2G2A	protein_coding	True	True
PLA2G5	protein_coding	True	True
LOC100419911	pseudogene	True	True
PLA2G2D	protein_coding	True	True
PLA2G2F	protein_coding	True	True
LOC117779438	lncRNA	True	True
PLA2G2C	protein_coding	True	True
UBXN10	protein_coding	True	True
LOC105376825	lncRNA	True	True
LOC105376826	lncRNA	True	True
LINC01757	lncRNA	True	True
LOC105376828	lncRNA	True	True
VWA5B1	protein_coding	True	True
LOC124903870	lncRNA	True	True
LINC01141	lncRNA	True	True
LOC124903871	lncRNA	True	True
CAMK2N1	protein_coding	True	True
MUL1	protein_coding	True	True
RPS4XP4	pseudogene	True	True
FAM43B	protein_coding	True	True
CDA	protein_coding	True	True
PINK1	protein_coding	True	True
MIR6084	miRNA	True	True
PINK1-AS	antisense_RNA	True	True
DDOST	protein_coding	True	True
KIF17	protein_coding	True	True
SH2D5	protein_coding	True	True
HP1BP3	protein_coding	True	True
EIF4G3	protein_coding	True	True
RNU7-200P	pseudogene	True	True
LOC105376830	lncRNA	True	True
LOC105376829	lncRNA	True	True
MIR1256	miRNA	True	True
RPS15AP6	pseudogene	True	True
HSPE1P27	pseudogene	True	True
ECE1	protein_coding	True	True
LOC124903872	lncRNA	True	True
ECE1-AS1	lncRNA	True	True
PPP1R11P1	pseudogene	True	True
PDE4DIPP10	pseudogene	True	True
NBPF2P	pseudogene	True	True
HS6ST1P1	pseudogene	True	True
CROCCP5	pseudogene	True	True
NBPF3	protein_coding	True	True
PFN1P10	pseudogene	True	True
ALPL	protein_coding	True	True
LINC02596	lncRNA	True	True
RAP1GAP	protein_coding	True	True
USP48	protein_coding	True	True
LOC124904736	pseudogene	True	True
LDLRAD2	protein_coding	True	True
HSPG2	protein_coding	True	True
RPL21P29	pseudogene	True	True
CELA3B	protein_coding	True	True
RN7SL386P	pseudogene	True	True
RNU6-1022P	pseudogene	True	True
CELA3A	protein_coding	True	True
RN7SL186P	pseudogene	True	True
RNU6-776P	pseudogene	True	True
LINC01635	lncRNA	True	True
LINC00339	lncRNA	True	True
CDC42	protein_coding	True	True
LOC124903873	pseudogene	True	True
WNT4	protein_coding	True	True
LOC105376845	lncRNA	True	True
LOC105376850	lncRNA	True	True
LOC107985377	lncRNA	True	True
MIR4418	miRNA	True	True
LOC105376856	lncRNA	True	True
ZBTB40	protein_coding	True	True
EPHA8	protein_coding	True	True
MIR6127	miRNA	True	True
C1QA	protein_coding	True	True
C1QC	protein_coding	True	True
C1QB	protein_coding	True	True
EPHB2	protein_coding	True	True
MIR4684	miRNA	True	True
MIR4253	miRNA	True	True
LOC124903874	lncRNA	True	True
LACTBL1	protein_coding	True	True
TEX46	protein_coding	True	True
KDM1A	protein_coding	True	True
MIR3115	miRNA	True	True
LUZP1	protein_coding	True	True
RNU6-514P	pseudogene	True	True
RNU6-135P	pseudogene	True	True
HTR1D	protein_coding	True	True
RPL29P6	pseudogene	True	True
LINC01355	lncRNA	True	True
HNRNPR	protein_coding	True	True
ZNF436	protein_coding	True	True
ZNF436-AS1	lncRNA	True	True
TCEA3	protein_coding	True	True
LOC124903875	lncRNA	True	True
ASAP3	protein_coding	True	True
E2F2	protein_coding	True	True
LOC101928163	lncRNA	True	True
LOC124903876	lncRNA	True	True
LOC105376859	lncRNA	True	True
ID3	protein_coding	True	True
LOC107984928	lncRNA	True	True
MDS2	lncRNA	True	True
EEF1A1P48	pseudogene	True	True
RPL11	protein_coding	True	True
ELOA	protein_coding	True	True
ELOA-AS1	lncRNA	True	True
PITHD1	protein_coding	True	True
LOC105376860	lncRNA	True	True
LYPLA2	protein_coding	True	True
GALE	protein_coding	True	True
HMGCL	protein_coding	True	True
LOC105376861	lncRNA	True	True
FUCA1	protein_coding	True	True
CNR2	protein_coding	True	True
LOC124904841	pseudogene	True	True
BTBD6P1	pseudogene	True	True
MIR378F	miRNA	True	True
LOC124903877	lncRNA	True	True
H3P1	pseudogene	True	True
PNRC2	protein_coding	True	True
SRSF10	protein_coding	True	True
LOC105378615	lncRNA	True	True
RPL36P5	pseudogene	True	True
LOC105376863	lncRNA	True	True
LOC107984931	lncRNA	True	True
MYOM3	protein_coding	True	True
MYOM3-AS1	lncRNA	True	True
LOC124903878	lncRNA	True	True
LOC105376864	lncRNA	True	True
IL22RA1	protein_coding	True	True
LOC124903879	lncRNA	True	True
IFNLR1	protein_coding	True	True
LINC02800	lncRNA	True	True
GRHL3-AS1	lncRNA	True	True
GRHL3	protein_coding	True	True
STPG1	protein_coding	True	True
NIPAL3	protein_coding	True	True
RCAN3AS	lncRNA	True	True
RCAN3	protein_coding	True	True
NCMAP-DT	lncRNA	True	True
NCMAP	protein_coding	True	True
RPL26P8	pseudogene	True	True
SRRM1	protein_coding	True	True
LOC124904829	snoRNA	True	True
CLIC4	protein_coding	True	True
RNU6-1208P	pseudogene	True	True
LOC105376876	lncRNA	True	True
RUNX3	protein_coding	True	True
MIR6731	miRNA	True	True
RUNX3-AS1	lncRNA	True	True
MIR4425	miRNA	True	True
LINC02793	lncRNA	True	True
IFITM3P7	pseudogene	True	True
LOC124903880	lncRNA	True	True
SYF2	protein_coding	True	True
LOC124903881	lncRNA	True	True
RSRP1	protein_coding	True	True
LOC105376882	lncRNA	True	True
RHD	protein_coding	True	True
SDHDP6	pseudogene	True	True
TMEM50A	protein_coding	True	True
LOC124904723	pseudogene	True	True
LOC124904823	snoRNA	True	True
RHCE	protein_coding	True	True
SDHDP7	pseudogene	True	True
MACO1	protein_coding	True	True
LDLRAP1	protein_coding	True	True
MAN1C1	protein_coding	True	True
SELENON	protein_coding	True	True
LOC646471	lncRNA	True	True
MTFR1L	protein_coding	True	True
AUNIP	protein_coding	True	True
PAQR7	protein_coding	True	True
STMN1	protein_coding	True	True
SNRPFP2	pseudogene	True	True
RPL39P7	pseudogene	True	True
MIR3917	miRNA	True	True
LOC105376885	lncRNA	True	True
PAFAH2	protein_coding	True	True
RNU6-110P	pseudogene	True	True
LOC124900433	ncRNA	True	True
EXTL1	protein_coding	True	True
SLC30A2	protein_coding	True	True
LOC105376910	lncRNA	True	True
TRIM63	protein_coding	True	True
PDIK1L	protein_coding	True	True
FAM110D	protein_coding	True	True
C1orf232	protein_coding	True	True
ZNF593OS	protein_coding	True	True
ZNF593	protein_coding	True	True
CNKSR1	protein_coding	True	True
CATSPER4	protein_coding	True	True
LOC100420494	pseudogene	True	True
LOC124903882	lncRNA	True	True
ZPLD2P	lncRNA	True	True
CEP85	protein_coding	True	True
LOC124904684	pseudogene	True	True
MRPS6P1	pseudogene	True	True
SH3BGRL3	protein_coding	True	True
UBXN11	protein_coding	True	True
CD52	protein_coding	True	True
CRYBG2	protein_coding	True	True
RPL34P4	pseudogene	True	True
ZNF683	protein_coding	True	True
LIN28A	protein_coding	True	True
LOC124903883	lncRNA	True	True
DHDDS	protein_coding	True	True
RPL17P9	pseudogene	True	True
DHDDS-AS1	lncRNA	True	True
HMGN2	protein_coding	True	True
DPPA2P2	pseudogene	True	True
LOC124903884	lncRNA	True	True
