gene_id	gene_name	transcript_id	broken	pident
hg002_chr1_paternal_198	ICMT	hg002_chr1_paternal_198.2	N	NA
hg002_chr1_paternal_200	HES3	hg002_chr1_paternal_200.1	N	NA
hg002_chr1_paternal_201	GPR153	hg002_chr1_paternal_201.2	N	NA
hg002_chr1_paternal_202	ACOT7	hg002_chr1_paternal_202.5	N	NA
hg002_chr1_paternal_203	HES2	hg002_chr1_paternal_203.1	N	NA
hg002_chr1_paternal_204	ESPN	hg002_chr1_paternal_204.7	N	NA
hg002_chr1_paternal_206	TNFRSF25	hg002_chr1_paternal_206.1	N	NA
hg002_chr1_paternal_207	PLEKHG5	hg002_chr1_paternal_207.5	N	NA
hg002_chr1_paternal_208	NOL9	hg002_chr1_paternal_208.5	N	NA
hg002_chr1_paternal_210	TAS1R1	hg002_chr1_paternal_210.1	N	NA
hg002_chr1_paternal_212	ZBTB48	hg002_chr1_paternal_212.5	N	NA
hg002_chr1_paternal_213	KLHL21	hg002_chr1_paternal_213.2	N	NA
hg002_chr1_paternal_215	PHF13	hg002_chr1_paternal_215.1	N	NA
hg002_chr1_paternal_216	THAP3	hg002_chr1_paternal_216.2	N	NA
hg002_chr1_paternal_217	DNAJC11	hg002_chr1_paternal_217.2	N	NA
hg002_chr1_paternal_221	CAMTA1	hg002_chr1_paternal_221.21	N	NA
hg002_chr1_paternal_230	VAMP3	hg002_chr1_paternal_230.1	N	NA
hg002_chr1_paternal_231	PER3	hg002_chr1_paternal_231.26	N	NA
hg002_chr1_paternal_233	UTS2	hg002_chr1_paternal_233.1	N	NA
hg002_chr1_paternal_234	TNFRSF9	hg002_chr1_paternal_234.1	N	NA
hg002_chr1_paternal_236	PARK7	hg002_chr1_paternal_236.2	N	NA
hg002_chr1_paternal_238	ERRFI1	hg002_chr1_paternal_238.4	N	NA
hg002_chr1_paternal_248	SLC45A1	hg002_chr1_paternal_248.1	N	NA
hg002_chr1_paternal_249	RERE	hg002_chr1_paternal_249.2	N	NA
hg002_chr1_paternal_257	ENO1	hg002_chr1_paternal_257.3	N	NA
hg002_chr1_paternal_263	CA6	hg002_chr1_paternal_263.4	N	NA
hg002_chr1_paternal_265	SLC2A7	hg002_chr1_paternal_265.2	N	NA
hg002_chr1_paternal_266	SLC2A5	hg002_chr1_paternal_266.4	N	NA
hg002_chr1_paternal_268	GPR157	hg002_chr1_paternal_268.1	N	NA
hg002_chr1_paternal_272	H6PD	hg002_chr1_paternal_272.1	N	NA
hg002_chr1_paternal_274	SPSB1	hg002_chr1_paternal_274.1	N	NA
hg002_chr1_paternal_277	SLC25A33	hg002_chr1_paternal_277.1	N	NA
hg002_chr1_paternal_279	TMEM201	hg002_chr1_paternal_279.4	N	NA
hg002_chr1_paternal_281	PIK3CD	hg002_chr1_paternal_281.21	N	NA
hg002_chr1_paternal_287	CLSTN1	hg002_chr1_paternal_287.1	N	NA
hg002_chr1_paternal_289	CTNNBIP1	hg002_chr1_paternal_289.4	N	NA
hg002_chr1_paternal_292	LZIC	hg002_chr1_paternal_292.6	N	NA
hg002_chr1_paternal_293	NMNAT1	hg002_chr1_paternal_293.5	N	NA
hg002_chr1_paternal_298	RBP7	hg002_chr1_paternal_298.1	N	NA
hg002_chr1_paternal_299	UBE4B	hg002_chr1_paternal_299.3	N	NA
hg002_chr1_paternal_303	KIF1B	hg002_chr1_paternal_303.2	N	NA
hg002_chr1_paternal_306	PGD	hg002_chr1_paternal_306.3	N	NA
hg002_chr1_paternal_307	CENPS	hg002_chr1_paternal_307.1	N	NA
hg002_chr1_paternal_309	CORT	hg002_chr1_paternal_309.1	N	NA
hg002_chr1_paternal_310	DFFA	hg002_chr1_paternal_310.1	N	NA
hg002_chr1_paternal_311	PEX14	hg002_chr1_paternal_311.1	N	NA
hg002_chr1_paternal_313	CASZ1	hg002_chr1_paternal_313.3	N	NA
hg002_chr1_paternal_317	C1orf127	hg002_chr1_paternal_317.6	N	NA
hg002_chr1_paternal_319	TARDBP	hg002_chr1_paternal_319.1	N	NA
hg002_chr1_paternal_320	MASP2	hg002_chr1_paternal_320.1	N	NA
hg002_chr1_paternal_321	SRM	hg002_chr1_paternal_321.1	N	NA
hg002_chr1_paternal_322	EXOSC10	hg002_chr1_paternal_322.3	N	NA
hg002_chr1_paternal_324	MTOR	hg002_chr1_paternal_324.5	N	NA
hg002_chr1_paternal_328	ANGPTL7	hg002_chr1_paternal_328.3	N	NA
hg002_chr1_paternal_331	UBIAD1	hg002_chr1_paternal_331.1	N	NA
hg002_chr1_paternal_338	DISP3	hg002_chr1_paternal_338.8	N	NA
hg002_chr1_paternal_341	FBXO2	hg002_chr1_paternal_341.1	N	NA
hg002_chr1_paternal_342	FBXO44	hg002_chr1_paternal_342.13	N	NA
hg002_chr1_paternal_343	FBXO6	hg002_chr1_paternal_343.1	N	NA
hg002_chr1_paternal_344	MAD2L2	hg002_chr1_paternal_344.1	N	NA
hg002_chr1_paternal_345	DRAXIN	hg002_chr1_paternal_345.2	N	NA
hg002_chr1_paternal_346	AGTRAP	hg002_chr1_paternal_346.5	N	NA
hg002_chr1_paternal_348	C1orf167	hg002_chr1_paternal_348.1	N	NA
hg002_chr1_paternal_350	MTHFR	hg002_chr1_paternal_350.7	N	NA
hg002_chr1_paternal_351	CLCN6	hg002_chr1_paternal_351.2	N	NA
hg002_chr1_paternal_353	NPPA	hg002_chr1_paternal_353.1	N	NA
hg002_chr1_paternal_354	NPPB	hg002_chr1_paternal_354.1	N	NA
hg002_chr1_paternal_359	KIAA2013	hg002_chr1_paternal_359.1	N	NA
hg002_chr1_paternal_360	PLOD1	hg002_chr1_paternal_360.1	N	NA
hg002_chr1_paternal_361	MFN2	hg002_chr1_paternal_361.2	N	NA
hg002_chr1_paternal_362	MIIP	hg002_chr1_paternal_362.1	N	NA
hg002_chr1_paternal_365	TNFRSF8	hg002_chr1_paternal_365.1	N	NA
hg002_chr1_paternal_369	TNFRSF1B	hg002_chr1_paternal_369.1	N	NA
hg002_chr1_paternal_373	VPS13D	hg002_chr1_paternal_373.1	N	NA
hg002_chr1_paternal_378	DHRS3	hg002_chr1_paternal_378.5	N	NA
hg002_chr1_paternal_381	AADACL4	hg002_chr1_paternal_381.1	N	NA
hg002_chr1_paternal_383	AADACL3	hg002_chr1_paternal_383.1	N	NA
hg002_chr1_paternal_385	CFAP107	hg002_chr1_paternal_385.2	N	NA
hg002_chr1_paternal_386	PRAMEF12	hg002_chr1_paternal_386.1	N	NA
hg002_chr1_paternal_387	PRAMEF1	hg002_chr1_paternal_387.1	N	NA
hg002_chr1_paternal_389	PRAMEF11	hg002_chr1_paternal_389.1	N	NA
hg002_chr1_paternal_391	HNRNPCL1	hg002_chr1_paternal_391.1	N	NA
hg002_chr1_paternal_392	PRAMEF2	hg002_chr1_paternal_392.1	N	NA
hg002_chr1_paternal_394	PRAMEF4	hg002_chr1_paternal_394.1	N	NA
hg002_chr1_paternal_395	PRAMEF10	hg002_chr1_paternal_395.1	N	NA
hg002_chr1_paternal_396	PRAMEF7	hg002_chr1_paternal_396.1	N	NA
hg002_chr1_paternal_399	PRAMEF6	hg002_chr1_paternal_399.1	N	NA
hg002_chr1_paternal_401	PRAMEF18	hg002_chr1_paternal_401.1	N	NA
hg002_chr1_paternal_404	PRAMEF9	hg002_chr1_paternal_404.1	N	NA
hg002_chr1_paternal_405	HNRNPCL3	hg002_chr1_paternal_405.1	N	NA
hg002_chr1_paternal_406	PRAMEF25	hg002_chr1_paternal_406.1	N	NA
hg002_chr1_paternal_409	HNRNPCL2	hg002_chr1_paternal_409.1	N	NA
hg002_chr1_paternal_414	PRAMEF5	hg002_chr1_paternal_414.1	N	NA
hg002_chr1_paternal_417	PRAMEF8	hg002_chr1_paternal_417.2	N	NA
hg002_chr1_paternal_418	PRAMEF33	hg002_chr1_paternal_418.1	Y	NA
hg002_chr1_paternal_419	PRAMEF15	hg002_chr1_paternal_419.1	N	NA
hg002_chr1_paternal_421	PRAMEF14	hg002_chr1_paternal_421.1	N	NA
hg002_chr1_paternal_422	PRAMEF19	hg002_chr1_paternal_422.1	N	NA
hg002_chr1_paternal_423	PRAMEF17	hg002_chr1_paternal_423.1	N	NA
hg002_chr1_paternal_424	PRAMEF20	hg002_chr1_paternal_424.1	N	NA
hg002_chr1_paternal_425	LRRC38	hg002_chr1_paternal_425.1	N	NA
hg002_chr1_paternal_429	PDPN	hg002_chr1_paternal_429.2	N	NA
hg002_chr1_paternal_434	PRDM2	hg002_chr1_paternal_434.4	N	NA
hg002_chr1_paternal_435	KAZN	hg002_chr1_paternal_435.9	N	NA
hg002_chr1_paternal_447	TMEM51	hg002_chr1_paternal_447.5	N	NA
hg002_chr1_paternal_451	FHAD1	hg002_chr1_paternal_451.35	N	NA
hg002_chr1_paternal_457	EFHD2	hg002_chr1_paternal_457.2	N	NA
hg002_chr1_paternal_458	CTRC	hg002_chr1_paternal_458.1	N	NA
hg002_chr1_paternal_459	CELA2A	hg002_chr1_paternal_459.1	N	NA
hg002_chr1_paternal_461	CELA2B	hg002_chr1_paternal_461.1	N	NA
hg002_chr1_paternal_462	CASP9	hg002_chr1_paternal_462.1	N	NA
hg002_chr1_paternal_463	DNAJC16	hg002_chr1_paternal_463.2	N	NA
hg002_chr1_paternal_465	AGMAT	hg002_chr1_paternal_465.1	N	NA
hg002_chr1_paternal_470	DDI2	hg002_chr1_paternal_470.1	N	NA
hg002_chr1_paternal_471	RSC1A1	hg002_chr1_paternal_471.1	N	NA
hg002_chr1_paternal_472	PLEKHM2	hg002_chr1_paternal_472.3	N	NA
hg002_chr1_paternal_473	SLC25A34	hg002_chr1_paternal_473.2	N	NA
hg002_chr1_paternal_475	TMEM82	hg002_chr1_paternal_475.1	N	NA
hg002_chr1_paternal_476	FBLIM1	hg002_chr1_paternal_476.35	N	NA
hg002_chr1_paternal_478	UQCRHL	hg002_chr1_paternal_478.1	N	NA
hg002_chr1_paternal_480	SPEN	hg002_chr1_paternal_480.1	N	NA
hg002_chr1_paternal_482	ZBTB17	hg002_chr1_paternal_482.9	N	NA
hg002_chr1_paternal_484	SRARP	hg002_chr1_paternal_484.1	N	NA
hg002_chr1_paternal_485	HSPB7	hg002_chr1_paternal_485.7	N	NA
hg002_chr1_paternal_486	CLCNKA	hg002_chr1_paternal_486.3	N	NA
hg002_chr1_paternal_488	CLCNKB	hg002_chr1_paternal_488.1	N	NA
hg002_chr1_paternal_489	FAM131C	hg002_chr1_paternal_489.1	N	NA
hg002_chr1_paternal_490	EPHA2	hg002_chr1_paternal_490.5	N	NA
hg002_chr1_paternal_492	ARHGEF19	hg002_chr1_paternal_492.1	N	NA
hg002_chr1_paternal_494	CPLANE2	hg002_chr1_paternal_494.1	N	NA
hg002_chr1_paternal_496	FBXO42	hg002_chr1_paternal_496.1	N	NA
hg002_chr1_paternal_497	SZRD1	hg002_chr1_paternal_497.1	N	NA
hg002_chr1_paternal_499	SPATA21	hg002_chr1_paternal_499.4	N	NA
hg002_chr1_paternal_500	NECAP2	hg002_chr1_paternal_500.4	N	NA
hg002_chr1_paternal_604	CROCC	hg002_chr1_paternal_604.6	N	NA
hg002_chr1_paternal_605	MFAP2	hg002_chr1_paternal_605.2	N	NA
hg002_chr1_paternal_607	ATP13A2	hg002_chr1_paternal_607.16	N	NA
hg002_chr1_paternal_608	SDHB	hg002_chr1_paternal_608.1	N	NA
hg002_chr1_paternal_609	PADI2	hg002_chr1_paternal_609.2	N	NA
hg002_chr1_paternal_613	PADI1	hg002_chr1_paternal_613.7	N	NA
hg002_chr1_paternal_614	PADI3	hg002_chr1_paternal_614.2	N	NA
hg002_chr1_paternal_616	PADI4	hg002_chr1_paternal_616.5	N	NA
hg002_chr1_paternal_617	PADI6	hg002_chr1_paternal_617.1	N	NA
hg002_chr1_paternal_618	RCC2	hg002_chr1_paternal_618.2	N	NA
hg002_chr1_paternal_622	ARHGEF10L	hg002_chr1_paternal_622.10	N	NA
hg002_chr1_paternal_624	ACTL8	hg002_chr1_paternal_624.1	N	NA
hg002_chr1_paternal_628	IGSF21	hg002_chr1_paternal_628.1	N	NA
hg002_chr1_paternal_633	KLHDC7A	hg002_chr1_paternal_633.1	N	NA
hg002_chr1_paternal_635	PAX7	hg002_chr1_paternal_635.3	N	NA
hg002_chr1_paternal_636	TAS1R2	hg002_chr1_paternal_636.1	N	NA
hg002_chr1_paternal_637	ALDH4A1	hg002_chr1_paternal_637.3	N	NA
hg002_chr1_paternal_641	IFFO2	hg002_chr1_paternal_641.1	N	NA
hg002_chr1_paternal_643	UBR4	hg002_chr1_paternal_643.1	N	NA
hg002_chr1_paternal_645	EMC1	hg002_chr1_paternal_645.6	N	NA
hg002_chr1_paternal_646	MRTO4	hg002_chr1_paternal_646.1	N	NA
hg002_chr1_paternal_648	AKR7A3	hg002_chr1_paternal_648.2	N	NA
hg002_chr1_paternal_651	AKR7A2	hg002_chr1_paternal_651.2	N	NA
hg002_chr1_paternal_653	SLC66A1	hg002_chr1_paternal_653.1	N	NA
hg002_chr1_paternal_654	CAPZB	hg002_chr1_paternal_654.9	N	NA
hg002_chr1_paternal_664	MICOS10	hg002_chr1_paternal_664.1	N	NA
hg002_chr1_paternal_667	NBL1	hg002_chr1_paternal_667.5	N	NA
hg002_chr1_paternal_668	HTR6	hg002_chr1_paternal_668.1	N	NA
hg002_chr1_paternal_669	TMCO4	hg002_chr1_paternal_669.14	N	NA
hg002_chr1_paternal_670	RNF186	hg002_chr1_paternal_670.1	N	NA
hg002_chr1_paternal_672	OTUD3	hg002_chr1_paternal_672.1	N	NA
hg002_chr1_paternal_673	PLA2G2E	hg002_chr1_paternal_673.1	N	NA
hg002_chr1_paternal_675	PLA2G2A	hg002_chr1_paternal_675.5	N	NA
hg002_chr1_paternal_676	PLA2G5	hg002_chr1_paternal_676.17	N	NA
hg002_chr1_paternal_678	PLA2G2D	hg002_chr1_paternal_678.2	N	NA
hg002_chr1_paternal_679	PLA2G2F	hg002_chr1_paternal_679.3	N	NA
hg002_chr1_paternal_681	PLA2G2C	hg002_chr1_paternal_681.3	N	NA
hg002_chr1_paternal_682	UBXN10	hg002_chr1_paternal_682.2	N	NA
hg002_chr1_paternal_687	VWA5B1	hg002_chr1_paternal_687.2	N	NA
hg002_chr1_paternal_691	CAMK2N1	hg002_chr1_paternal_691.1	N	NA
hg002_chr1_paternal_692	MUL1	hg002_chr1_paternal_692.1	N	NA
hg002_chr1_paternal_694	FAM43B	hg002_chr1_paternal_694.1	N	NA
hg002_chr1_paternal_695	CDA	hg002_chr1_paternal_695.1	N	NA
hg002_chr1_paternal_696	PINK1	hg002_chr1_paternal_696.1	N	NA
hg002_chr1_paternal_699	DDOST	hg002_chr1_paternal_699.1	N	NA
hg002_chr1_paternal_700	KIF17	hg002_chr1_paternal_700.17	N	NA
hg002_chr1_paternal_701	SH2D5	hg002_chr1_paternal_701.5	N	NA
hg002_chr1_paternal_702	HP1BP3	hg002_chr1_paternal_702.10	N	NA
hg002_chr1_paternal_703	EIF4G3	hg002_chr1_paternal_703.60	N	NA
hg002_chr1_paternal_710	ECE1	hg002_chr1_paternal_710.3	N	NA
hg002_chr1_paternal_719	NBPF3	hg002_chr1_paternal_719.13	N	NA
hg002_chr1_paternal_721	ALPL	hg002_chr1_paternal_721.3	N	NA
hg002_chr1_paternal_723	RAP1GAP	hg002_chr1_paternal_723.46	N	NA
hg002_chr1_paternal_724	USP48	hg002_chr1_paternal_724.9	N	NA
hg002_chr1_paternal_726	LDLRAD2	hg002_chr1_paternal_726.1	N	NA
hg002_chr1_paternal_727	HSPG2	hg002_chr1_paternal_727.6	N	NA
hg002_chr1_paternal_729	CELA3B	hg002_chr1_paternal_729.1	N	NA
hg002_chr1_paternal_732	CELA3A	hg002_chr1_paternal_732.1	N	NA
hg002_chr1_paternal_737	CDC42	hg002_chr1_paternal_737.3	N	NA
hg002_chr1_paternal_739	WNT4	hg002_chr1_paternal_739.2	N	NA
hg002_chr1_paternal_745	ZBTB40	hg002_chr1_paternal_745.5	N	NA
hg002_chr1_paternal_746	EPHA8	hg002_chr1_paternal_746.3	N	NA
hg002_chr1_paternal_748	C1QA	hg002_chr1_paternal_748.3	N	NA
hg002_chr1_paternal_749	C1QC	hg002_chr1_paternal_749.4	N	NA
hg002_chr1_paternal_750	C1QB	hg002_chr1_paternal_750.3	N	NA
hg002_chr1_paternal_751	EPHB2	hg002_chr1_paternal_751.6	N	NA
hg002_chr1_paternal_755	LACTBL1	hg002_chr1_paternal_755.1	N	NA
hg002_chr1_paternal_756	TEX46	hg002_chr1_paternal_756.1	N	NA
hg002_chr1_paternal_757	KDM1A	hg002_chr1_paternal_757.1	N	NA
hg002_chr1_paternal_762	HTR1D	hg002_chr1_paternal_762.1	N	NA
hg002_chr1_paternal_765	HNRNPR	hg002_chr1_paternal_765.14	N	NA
hg002_chr1_paternal_766	ZNF436	hg002_chr1_paternal_766.2	N	NA
hg002_chr1_paternal_768	TCEA3	hg002_chr1_paternal_768.1	N	NA
hg002_chr1_paternal_770	ASAP3	hg002_chr1_paternal_770.2	N	NA
hg002_chr1_paternal_771	E2F2	hg002_chr1_paternal_771.10	N	NA
hg002_chr1_paternal_775	ID3	hg002_chr1_paternal_775.1	N	NA
hg002_chr1_paternal_779	RPL11	hg002_chr1_paternal_779.2	N	NA
hg002_chr1_paternal_780	ELOA	hg002_chr1_paternal_780.1	N	NA
hg002_chr1_paternal_782	PITHD1	hg002_chr1_paternal_782.1	N	NA
hg002_chr1_paternal_784	LYPLA2	hg002_chr1_paternal_784.1	N	NA
hg002_chr1_paternal_785	GALE	hg002_chr1_paternal_785.3	N	NA
hg002_chr1_paternal_786	HMGCL	hg002_chr1_paternal_786.1	N	NA
hg002_chr1_paternal_788	FUCA1	hg002_chr1_paternal_788.1	N	NA
hg002_chr1_paternal_789	CNR2	hg002_chr1_paternal_789.4	N	NA
hg002_chr1_paternal_795	PNRC2	hg002_chr1_paternal_795.2	N	NA
hg002_chr1_paternal_796	SRSF10	hg002_chr1_paternal_796.2	N	NA
hg002_chr1_paternal_801	MYOM3	hg002_chr1_paternal_801.1	N	NA
hg002_chr1_paternal_805	IL22RA1	hg002_chr1_paternal_805.1	N	NA
hg002_chr1_paternal_807	IFNLR1	hg002_chr1_paternal_807.3	N	NA
hg002_chr1_paternal_810	GRHL3	hg002_chr1_paternal_810.2	N	NA
hg002_chr1_paternal_811	STPG1	hg002_chr1_paternal_811.1	N	NA
hg002_chr1_paternal_812	NIPAL3	hg002_chr1_paternal_812.15	N	NA
hg002_chr1_paternal_814	RCAN3	hg002_chr1_paternal_814.6	N	NA
hg002_chr1_paternal_816	NCMAP	hg002_chr1_paternal_816.1	N	NA
hg002_chr1_paternal_818	SRRM1	hg002_chr1_paternal_818.22	N	NA
hg002_chr1_paternal_820	CLIC4	hg002_chr1_paternal_820.1	N	NA
hg002_chr1_paternal_823	RUNX3	hg002_chr1_paternal_823.1	N	NA
hg002_chr1_paternal_830	SYF2	hg002_chr1_paternal_830.1	N	NA
hg002_chr1_paternal_832	RSRP1	hg002_chr1_paternal_832.1	N	NA
hg002_chr1_paternal_834	RHD	hg002_chr1_paternal_834.9	N	NA
hg002_chr1_paternal_836	TMEM50A	hg002_chr1_paternal_836.1	N	NA
hg002_chr1_paternal_839	RHCE	hg002_chr1_paternal_839.1	N	NA
hg002_chr1_paternal_842	MACO1	hg002_chr1_paternal_842.3	N	NA
hg002_chr1_paternal_843	LDLRAP1	hg002_chr1_paternal_843.3	N	NA
hg002_chr1_paternal_844	MAN1C1	hg002_chr1_paternal_844.5	N	NA
hg002_chr1_paternal_845	SELENON	hg002_chr1_paternal_845.1	N	NA
hg002_chr1_paternal_847	MTFR1L	hg002_chr1_paternal_847.1	N	NA
hg002_chr1_paternal_848	AUNIP	hg002_chr1_paternal_848.3	N	NA
hg002_chr1_paternal_849	PAQR7	hg002_chr1_paternal_849.2	N	NA
hg002_chr1_paternal_850	STMN1	hg002_chr1_paternal_850.3	N	NA
hg002_chr1_paternal_855	PAFAH2	hg002_chr1_paternal_855.2	N	NA
hg002_chr1_paternal_858	EXTL1	hg002_chr1_paternal_858.2	N	NA
hg002_chr1_paternal_859	SLC30A2	hg002_chr1_paternal_859.1	N	NA
hg002_chr1_paternal_861	TRIM63	hg002_chr1_paternal_861.1	N	NA
hg002_chr1_paternal_862	PDIK1L	hg002_chr1_paternal_862.3	N	NA
hg002_chr1_paternal_863	FAM110D	hg002_chr1_paternal_863.1	N	NA
hg002_chr1_paternal_864	C1orf232	hg002_chr1_paternal_864.1	N	NA
hg002_chr1_paternal_865	ZNF593OS	hg002_chr1_paternal_865.1	N	NA
hg002_chr1_paternal_866	ZNF593	hg002_chr1_paternal_866.1	N	NA
hg002_chr1_paternal_867	CNKSR1	hg002_chr1_paternal_867.3	N	NA
hg002_chr1_paternal_868	CATSPER4	hg002_chr1_paternal_868.3	N	NA
hg002_chr1_paternal_872	CEP85	hg002_chr1_paternal_872.3	N	NA
hg002_chr1_paternal_875	SH3BGRL3	hg002_chr1_paternal_875.1	N	NA
hg002_chr1_paternal_876	UBXN11	hg002_chr1_paternal_876.2	N	NA
