haplotype	chr	start	end	strand	gene_id	gene_name	transcript_id	broken	pident
mat	chr1_MATERNAL	12592879	12598253	-	hg002_chr1_maternal_396	PRAMEF10	hg002_chr1_maternal_396.1	N	NA
mat	chr1_MATERNAL	12616578	12620719	+	hg002_chr1_maternal_397	PRAMEF7	hg002_chr1_maternal_397.1	N	NA
mat	chr1_MATERNAL	12638329	12647568	-	hg002_chr1_maternal_400	PRAMEF5	hg002_chr1_maternal_400.1	N	NA
mat	chr1_MATERNAL	12675590	12679049	+	hg002_chr1_maternal_402	PRAMEF18	hg002_chr1_maternal_402.1	N	NA
mat	chr1_MATERNAL	12722280	12729298	-	hg002_chr1_maternal_405	PRAMEF15	hg002_chr1_maternal_405.1	N	NA
mat	chr1_MATERNAL	12733576	12735685	+	hg002_chr1_maternal_406	HNRNPCL3	hg002_chr1_maternal_406.1	N	NA
mat	chr1_MATERNAL	12743581	12750690	+	hg002_chr1_maternal_407	PRAMEF25	hg002_chr1_maternal_407.1	N	NA
mat	chr1_MATERNAL	12782721	12784087	+	hg002_chr1_maternal_410	HNRNPCL2	hg002_chr1_maternal_410.1	N	NA
mat	chr1_MATERNAL	12821707	12828815	-	hg002_chr1_maternal_414	PRAMEF25	hg002_chr1_maternal_414.1	N	NA
mat	chr1_MATERNAL	12836710	12838819	-	hg002_chr1_maternal_415	HNRNPCL3	hg002_chr1_maternal_415.1	N	NA
mat	chr1_MATERNAL	12844647	12852252	+	hg002_chr1_maternal_416	PRAMEF9	hg002_chr1_maternal_416.1	N	NA
mat	chr1_MATERNAL	12865648	12869160	-	hg002_chr1_maternal_418	PRAMEF18	hg002_chr1_maternal_418.1	N	NA
mat	chr1_MATERNAL	12897253	12906363	+	hg002_chr1_maternal_420	PRAMEF6	hg002_chr1_maternal_420.1	N	NA
mat	chr1_MATERNAL	12924333	12928166	-	hg002_chr1_maternal_423	PRAMEF8	hg002_chr1_maternal_423.2	N	NA
mat	chr1_MATERNAL	12946594	12951962	+	hg002_chr1_maternal_424	PRAMEF33	hg002_chr1_maternal_424.1	Y	NA
mat	chr1_MATERNAL	12958637	12965654	+	hg002_chr1_maternal_425	PRAMEF15	hg002_chr1_maternal_425.1	N	NA
mat	chr1_MATERNAL	12984961	12990203	-	hg002_chr1_maternal_427	PRAMEF14	hg002_chr1_maternal_427.1	N	NA
mat	chr1_MATERNAL	13011481	13014997	-	hg002_chr1_maternal_428	PRAMEF19	hg002_chr1_maternal_428.1	N	NA
mat	chr1_MATERNAL	13032686	13035683	+	hg002_chr1_maternal_429	PRAMEF17	hg002_chr1_maternal_429.1	N	NA
mat	chr1_MATERNAL	13053502	13064376	+	hg002_chr1_maternal_430	PRAMEF20	hg002_chr1_maternal_430.1	N	NA
mat	chr1_MATERNAL	13118689	13157537	-	hg002_chr1_maternal_431	LRRC38	hg002_chr1_maternal_431.1	N	NA
mat	chr1_MATERNAL	13227174	13261389	+	hg002_chr1_maternal_435	PDPN	hg002_chr1_maternal_435.2	N	NA
mat	chr1_MATERNAL	13343714	13468631	+	hg002_chr1_maternal_440	PRDM2	hg002_chr1_maternal_440.4	N	NA
mat	chr1_MATERNAL	13536458	14763544	+	hg002_chr1_maternal_441	KAZN	hg002_chr1_maternal_441.9	N	NA
mat	chr1_MATERNAL	14798058	14865985	+	hg002_chr1_maternal_453	TMEM51	hg002_chr1_maternal_453.5	N	NA
mat	chr1_MATERNAL	14882300	15049272	+	hg002_chr1_maternal_457	FHAD1	hg002_chr1_maternal_457.35	N	NA
mat	chr1_MATERNAL	15056150	15076601	+	hg002_chr1_maternal_463	EFHD2	hg002_chr1_maternal_463.2	N	NA
mat	chr1_MATERNAL	15084673	15095480	+	hg002_chr1_maternal_464	CTRC	hg002_chr1_maternal_464.1	N	NA
mat	chr1_MATERNAL	15102964	15118301	+	hg002_chr1_maternal_465	CELA2A	hg002_chr1_maternal_465.1	N	NA
mat	chr1_MATERNAL	15122314	15137603	+	hg002_chr1_maternal_467	CELA2B	hg002_chr1_maternal_467.1	N	NA
mat	chr1_MATERNAL	15137609	15171134	-	hg002_chr1_maternal_468	CASP9	hg002_chr1_maternal_468.1	N	NA
mat	chr1_MATERNAL	15173069	15217939	+	hg002_chr1_maternal_469	DNAJC16	hg002_chr1_maternal_469.2	N	NA
mat	chr1_MATERNAL	15217905	15231267	-	hg002_chr1_maternal_471	AGMAT	hg002_chr1_maternal_471.1	N	NA
mat	chr1_MATERNAL	15263658	15315264	+	hg002_chr1_maternal_476	DDI2	hg002_chr1_maternal_476.1	N	NA
mat	chr1_MATERNAL	15305932	15308252	+	hg002_chr1_maternal_477	RSC1A1	hg002_chr1_maternal_477.1	N	NA
mat	chr1_MATERNAL	15327730	15381001	+	hg002_chr1_maternal_478	PLEKHM2	hg002_chr1_maternal_478.3	N	NA
mat	chr1_MATERNAL	15382490	15387618	+	hg002_chr1_maternal_479	SLC25A34	hg002_chr1_maternal_479.2	N	NA
mat	chr1_MATERNAL	15388724	15394207	+	hg002_chr1_maternal_481	TMEM82	hg002_chr1_maternal_481.1	N	NA
mat	chr1_MATERNAL	15402863	15432814	+	hg002_chr1_maternal_482	FBLIM1	hg002_chr1_maternal_482.35	N	NA
mat	chr1_MATERNAL	15453636	15453911	-	hg002_chr1_maternal_484	UQCRHL	hg002_chr1_maternal_484.1	N	NA
mat	chr1_MATERNAL	15493957	15586713	+	hg002_chr1_maternal_486	SPEN	hg002_chr1_maternal_486.1	N	NA
mat	chr1_MATERNAL	15588126	15622339	-	hg002_chr1_maternal_488	ZBTB17	hg002_chr1_maternal_488.9	N	NA
mat	chr1_MATERNAL	15650474	15655047	+	hg002_chr1_maternal_490	SRARP	hg002_chr1_maternal_490.1	N	NA
mat	chr1_MATERNAL	15660281	15665846	-	hg002_chr1_maternal_491	HSPB7	hg002_chr1_maternal_491.7	N	NA
mat	chr1_MATERNAL	15668288	15680302	+	hg002_chr1_maternal_492	CLCNKA	hg002_chr1_maternal_492.3	N	NA
mat	chr1_MATERNAL	15690037	15703649	+	hg002_chr1_maternal_494	CLCNKB	hg002_chr1_maternal_494.1	N	NA
mat	chr1_MATERNAL	15704092	15719956	-	hg002_chr1_maternal_495	FAM131C	hg002_chr1_maternal_495.1	N	NA
mat	chr1_MATERNAL	15770648	15802399	-	hg002_chr1_maternal_496	EPHA2	hg002_chr1_maternal_496.5	N	NA
mat	chr1_MATERNAL	15844168	15858954	-	hg002_chr1_maternal_498	ARHGEF19	hg002_chr1_maternal_498.1	N	NA
