gene_id	gene_name	transcript_id	broken	pident
hg002_chr1_maternal_400	PRAMEF5	hg002_chr1_maternal_400.1	N	NA
hg002_chr1_maternal_402	PRAMEF18	hg002_chr1_maternal_402.1	N	NA
hg002_chr1_maternal_405	PRAMEF15	hg002_chr1_maternal_405.1	N	NA
hg002_chr1_maternal_406	HNRNPCL3	hg002_chr1_maternal_406.1	N	NA
hg002_chr1_maternal_407	PRAMEF25	hg002_chr1_maternal_407.1	N	NA
hg002_chr1_maternal_410	HNRNPCL2	hg002_chr1_maternal_410.1	N	NA
hg002_chr1_maternal_414	PRAMEF25	hg002_chr1_maternal_414.1	N	NA
hg002_chr1_maternal_415	HNRNPCL3	hg002_chr1_maternal_415.1	N	NA
hg002_chr1_maternal_416	PRAMEF9	hg002_chr1_maternal_416.1	N	NA
hg002_chr1_maternal_418	PRAMEF18	hg002_chr1_maternal_418.1	N	NA
hg002_chr1_maternal_420	PRAMEF6	hg002_chr1_maternal_420.1	N	NA
hg002_chr1_maternal_423	PRAMEF8	hg002_chr1_maternal_423.2	N	NA
hg002_chr1_maternal_424	PRAMEF33	hg002_chr1_maternal_424.1	Y	NA
hg002_chr1_maternal_425	PRAMEF15	hg002_chr1_maternal_425.1	N	NA
hg002_chr1_maternal_427	PRAMEF14	hg002_chr1_maternal_427.1	N	NA
hg002_chr1_maternal_428	PRAMEF19	hg002_chr1_maternal_428.1	N	NA
hg002_chr1_maternal_429	PRAMEF17	hg002_chr1_maternal_429.1	N	NA
hg002_chr1_maternal_430	PRAMEF20	hg002_chr1_maternal_430.1	N	NA
hg002_chr1_maternal_431	LRRC38	hg002_chr1_maternal_431.1	N	NA
hg002_chr1_maternal_435	PDPN	hg002_chr1_maternal_435.2	N	NA
hg002_chr1_maternal_440	PRDM2	hg002_chr1_maternal_440.4	N	NA
hg002_chr1_maternal_441	KAZN	hg002_chr1_maternal_441.9	N	NA
hg002_chr1_maternal_453	TMEM51	hg002_chr1_maternal_453.5	N	NA
hg002_chr1_maternal_457	FHAD1	hg002_chr1_maternal_457.35	N	NA
hg002_chr1_maternal_463	EFHD2	hg002_chr1_maternal_463.2	N	NA
hg002_chr1_maternal_464	CTRC	hg002_chr1_maternal_464.1	N	NA
hg002_chr1_maternal_465	CELA2A	hg002_chr1_maternal_465.1	N	NA
hg002_chr1_maternal_467	CELA2B	hg002_chr1_maternal_467.1	N	NA
hg002_chr1_maternal_468	CASP9	hg002_chr1_maternal_468.1	N	NA
hg002_chr1_maternal_469	DNAJC16	hg002_chr1_maternal_469.2	N	NA
hg002_chr1_maternal_471	AGMAT	hg002_chr1_maternal_471.1	N	NA
hg002_chr1_maternal_476	DDI2	hg002_chr1_maternal_476.1	N	NA
hg002_chr1_maternal_477	RSC1A1	hg002_chr1_maternal_477.1	N	NA
hg002_chr1_maternal_478	PLEKHM2	hg002_chr1_maternal_478.3	N	NA
hg002_chr1_maternal_479	SLC25A34	hg002_chr1_maternal_479.2	N	NA
hg002_chr1_maternal_481	TMEM82	hg002_chr1_maternal_481.1	N	NA
hg002_chr1_maternal_482	FBLIM1	hg002_chr1_maternal_482.35	N	NA
hg002_chr1_maternal_484	UQCRHL	hg002_chr1_maternal_484.1	N	NA
hg002_chr1_maternal_486	SPEN	hg002_chr1_maternal_486.1	N	NA
hg002_chr1_maternal_488	ZBTB17	hg002_chr1_maternal_488.9	N	NA
hg002_chr1_maternal_490	SRARP	hg002_chr1_maternal_490.1	N	NA
hg002_chr1_maternal_491	HSPB7	hg002_chr1_maternal_491.7	N	NA
hg002_chr1_maternal_492	CLCNKA	hg002_chr1_maternal_492.3	N	NA
hg002_chr1_maternal_494	CLCNKB	hg002_chr1_maternal_494.1	N	NA
hg002_chr1_maternal_495	FAM131C	hg002_chr1_maternal_495.1	N	NA
hg002_chr1_maternal_496	EPHA2	hg002_chr1_maternal_496.5	N	NA
hg002_chr1_maternal_498	ARHGEF19	hg002_chr1_maternal_498.1	N	NA
hg002_chr1_maternal_500	CPLANE2	hg002_chr1_maternal_500.1	N	NA
hg002_chr1_maternal_502	FBXO42	hg002_chr1_maternal_502.1	N	NA
hg002_chr1_maternal_503	SZRD1	hg002_chr1_maternal_503.1	N	NA
hg002_chr1_maternal_505	SPATA21	hg002_chr1_maternal_505.4	N	NA
hg002_chr1_maternal_506	NECAP2	hg002_chr1_maternal_506.4	N	NA
hg002_chr1_maternal_602	CROCC	hg002_chr1_maternal_602.6	N	NA
hg002_chr1_maternal_603	MFAP2	hg002_chr1_maternal_603.2	N	NA
hg002_chr1_maternal_605	ATP13A2	hg002_chr1_maternal_605.16	N	NA
hg002_chr1_maternal_606	SDHB	hg002_chr1_maternal_606.1	N	NA
hg002_chr1_maternal_607	PADI2	hg002_chr1_maternal_607.2	N	NA
hg002_chr1_maternal_611	PADI1	hg002_chr1_maternal_611.7	N	NA
hg002_chr1_maternal_612	PADI3	hg002_chr1_maternal_612.2	N	NA
hg002_chr1_maternal_614	PADI4	hg002_chr1_maternal_614.5	N	NA
hg002_chr1_maternal_615	PADI6	hg002_chr1_maternal_615.1	N	NA
hg002_chr1_maternal_616	RCC2	hg002_chr1_maternal_616.2	N	NA
hg002_chr1_maternal_620	ARHGEF10L	hg002_chr1_maternal_620.10	N	NA
hg002_chr1_maternal_622	ACTL8	hg002_chr1_maternal_622.1	N	NA
hg002_chr1_maternal_626	IGSF21	hg002_chr1_maternal_626.1	N	NA
hg002_chr1_maternal_631	KLHDC7A	hg002_chr1_maternal_631.1	N	NA
hg002_chr1_maternal_633	PAX7	hg002_chr1_maternal_633.3	N	NA
hg002_chr1_maternal_634	TAS1R2	hg002_chr1_maternal_634.1	N	NA
hg002_chr1_maternal_635	ALDH4A1	hg002_chr1_maternal_635.3	N	NA
hg002_chr1_maternal_639	IFFO2	hg002_chr1_maternal_639.1	N	NA
hg002_chr1_maternal_641	UBR4	hg002_chr1_maternal_641.1	N	NA
hg002_chr1_maternal_643	EMC1	hg002_chr1_maternal_643.6	N	NA
hg002_chr1_maternal_644	MRTO4	hg002_chr1_maternal_644.1	N	NA
hg002_chr1_maternal_646	AKR7A3	hg002_chr1_maternal_646.2	N	NA
hg002_chr1_maternal_649	AKR7A2	hg002_chr1_maternal_649.2	N	NA
hg002_chr1_maternal_651	SLC66A1	hg002_chr1_maternal_651.1	N	NA
hg002_chr1_maternal_652	CAPZB	hg002_chr1_maternal_652.9	N	NA
hg002_chr1_maternal_662	MICOS10	hg002_chr1_maternal_662.1	N	NA
hg002_chr1_maternal_665	NBL1	hg002_chr1_maternal_665.5	N	NA
hg002_chr1_maternal_666	HTR6	hg002_chr1_maternal_666.1	N	NA
hg002_chr1_maternal_667	TMCO4	hg002_chr1_maternal_667.14	N	NA
hg002_chr1_maternal_668	RNF186	hg002_chr1_maternal_668.1	N	NA
hg002_chr1_maternal_670	OTUD3	hg002_chr1_maternal_670.1	N	NA
hg002_chr1_maternal_671	PLA2G2E	hg002_chr1_maternal_671.1	N	NA
hg002_chr1_maternal_673	PLA2G2A	hg002_chr1_maternal_673.5	N	NA
hg002_chr1_maternal_674	PLA2G5	hg002_chr1_maternal_674.17	N	NA
hg002_chr1_maternal_676	PLA2G2D	hg002_chr1_maternal_676.2	N	NA
hg002_chr1_maternal_677	PLA2G2F	hg002_chr1_maternal_677.3	N	NA
hg002_chr1_maternal_679	PLA2G2C	hg002_chr1_maternal_679.3	N	NA
hg002_chr1_maternal_680	UBXN10	hg002_chr1_maternal_680.2	N	NA
hg002_chr1_maternal_685	VWA5B1	hg002_chr1_maternal_685.2	N	NA
hg002_chr1_maternal_689	CAMK2N1	hg002_chr1_maternal_689.1	N	NA
hg002_chr1_maternal_690	MUL1	hg002_chr1_maternal_690.1	N	NA
hg002_chr1_maternal_692	FAM43B	hg002_chr1_maternal_692.1	N	NA
hg002_chr1_maternal_693	CDA	hg002_chr1_maternal_693.1	N	NA
hg002_chr1_maternal_694	PINK1	hg002_chr1_maternal_694.1	N	NA
hg002_chr1_maternal_697	DDOST	hg002_chr1_maternal_697.1	N	NA
hg002_chr1_maternal_698	KIF17	hg002_chr1_maternal_698.17	N	NA
hg002_chr1_maternal_699	SH2D5	hg002_chr1_maternal_699.5	N	NA
hg002_chr1_maternal_700	HP1BP3	hg002_chr1_maternal_700.10	N	NA
hg002_chr1_maternal_701	EIF4G3	hg002_chr1_maternal_701.60	N	NA
hg002_chr1_maternal_708	ECE1	hg002_chr1_maternal_708.3	N	NA
hg002_chr1_maternal_717	NBPF3	hg002_chr1_maternal_717.13	N	NA
hg002_chr1_maternal_719	ALPL	hg002_chr1_maternal_719.3	N	NA
hg002_chr1_maternal_721	RAP1GAP	hg002_chr1_maternal_721.46	N	NA
hg002_chr1_maternal_722	USP48	hg002_chr1_maternal_722.9	N	NA
hg002_chr1_maternal_724	LDLRAD2	hg002_chr1_maternal_724.1	N	NA
hg002_chr1_maternal_725	HSPG2	hg002_chr1_maternal_725.6	N	NA
hg002_chr1_maternal_727	CELA3B	hg002_chr1_maternal_727.1	N	NA
hg002_chr1_maternal_730	CELA3A	hg002_chr1_maternal_730.1	N	NA
hg002_chr1_maternal_735	CDC42	hg002_chr1_maternal_735.3	N	NA
hg002_chr1_maternal_737	WNT4	hg002_chr1_maternal_737.2	N	NA
hg002_chr1_maternal_743	ZBTB40	hg002_chr1_maternal_743.5	N	NA
hg002_chr1_maternal_744	EPHA8	hg002_chr1_maternal_744.3	N	NA
hg002_chr1_maternal_746	C1QA	hg002_chr1_maternal_746.3	N	NA
hg002_chr1_maternal_747	C1QC	hg002_chr1_maternal_747.4	N	NA
hg002_chr1_maternal_748	C1QB	hg002_chr1_maternal_748.3	N	NA
hg002_chr1_maternal_749	EPHB2	hg002_chr1_maternal_749.6	N	NA
hg002_chr1_maternal_753	LACTBL1	hg002_chr1_maternal_753.1	N	NA
hg002_chr1_maternal_754	TEX46	hg002_chr1_maternal_754.1	N	NA
hg002_chr1_maternal_755	KDM1A	hg002_chr1_maternal_755.1	N	NA
hg002_chr1_maternal_760	HTR1D	hg002_chr1_maternal_760.1	N	NA
hg002_chr1_maternal_763	HNRNPR	hg002_chr1_maternal_763.14	N	NA
hg002_chr1_maternal_764	ZNF436	hg002_chr1_maternal_764.2	N	NA
hg002_chr1_maternal_766	TCEA3	hg002_chr1_maternal_766.1	N	NA
hg002_chr1_maternal_768	ASAP3	hg002_chr1_maternal_768.2	N	NA
hg002_chr1_maternal_769	E2F2	hg002_chr1_maternal_769.10	N	NA
hg002_chr1_maternal_773	ID3	hg002_chr1_maternal_773.1	N	NA
hg002_chr1_maternal_777	RPL11	hg002_chr1_maternal_777.2	N	NA
hg002_chr1_maternal_778	ELOA	hg002_chr1_maternal_778.1	N	NA
hg002_chr1_maternal_780	PITHD1	hg002_chr1_maternal_780.1	N	NA
hg002_chr1_maternal_782	LYPLA2	hg002_chr1_maternal_782.1	N	NA
hg002_chr1_maternal_783	GALE	hg002_chr1_maternal_783.3	N	NA
hg002_chr1_maternal_784	HMGCL	hg002_chr1_maternal_784.1	N	NA
hg002_chr1_maternal_786	FUCA1	hg002_chr1_maternal_786.1	N	NA
hg002_chr1_maternal_787	CNR2	hg002_chr1_maternal_787.4	N	NA
hg002_chr1_maternal_793	PNRC2	hg002_chr1_maternal_793.2	N	NA
hg002_chr1_maternal_794	SRSF10	hg002_chr1_maternal_794.2	N	NA
hg002_chr1_maternal_799	MYOM3	hg002_chr1_maternal_799.1	N	NA
hg002_chr1_maternal_803	IL22RA1	hg002_chr1_maternal_803.1	N	NA
hg002_chr1_maternal_805	IFNLR1	hg002_chr1_maternal_805.3	N	NA
hg002_chr1_maternal_808	GRHL3	hg002_chr1_maternal_808.2	N	NA
hg002_chr1_maternal_809	STPG1	hg002_chr1_maternal_809.1	N	NA
hg002_chr1_maternal_810	NIPAL3	hg002_chr1_maternal_810.15	N	NA
hg002_chr1_maternal_812	RCAN3	hg002_chr1_maternal_812.6	N	NA
hg002_chr1_maternal_814	NCMAP	hg002_chr1_maternal_814.1	N	NA
hg002_chr1_maternal_816	SRRM1	hg002_chr1_maternal_816.22	N	NA
hg002_chr1_maternal_818	CLIC4	hg002_chr1_maternal_818.1	N	NA
hg002_chr1_maternal_821	RUNX3	hg002_chr1_maternal_821.1	N	NA
hg002_chr1_maternal_828	SYF2	hg002_chr1_maternal_828.1	N	NA
hg002_chr1_maternal_830	RSRP1	hg002_chr1_maternal_830.1	N	NA
hg002_chr1_maternal_832	RHD	hg002_chr1_maternal_832.9	N	NA
hg002_chr1_maternal_834	TMEM50A	hg002_chr1_maternal_834.1	N	NA
hg002_chr1_maternal_837	RHCE	hg002_chr1_maternal_837.1	N	NA
hg002_chr1_maternal_840	MACO1	hg002_chr1_maternal_840.3	N	NA
hg002_chr1_maternal_841	LDLRAP1	hg002_chr1_maternal_841.3	N	NA
hg002_chr1_maternal_842	MAN1C1	hg002_chr1_maternal_842.5	N	NA
hg002_chr1_maternal_843	SELENON	hg002_chr1_maternal_843.1	N	NA
hg002_chr1_maternal_845	MTFR1L	hg002_chr1_maternal_845.1	N	NA
hg002_chr1_maternal_846	AUNIP	hg002_chr1_maternal_846.3	N	NA
hg002_chr1_maternal_847	PAQR7	hg002_chr1_maternal_847.2	N	NA
hg002_chr1_maternal_848	STMN1	hg002_chr1_maternal_848.3	N	NA
hg002_chr1_maternal_853	PAFAH2	hg002_chr1_maternal_853.2	N	NA
hg002_chr1_maternal_856	EXTL1	hg002_chr1_maternal_856.2	N	NA
hg002_chr1_maternal_857	SLC30A2	hg002_chr1_maternal_857.1	N	NA
hg002_chr1_maternal_859	TRIM63	hg002_chr1_maternal_859.1	N	NA
hg002_chr1_maternal_860	PDIK1L	hg002_chr1_maternal_860.3	N	NA
hg002_chr1_maternal_861	FAM110D	hg002_chr1_maternal_861.1	N	NA
hg002_chr1_maternal_862	C1orf232	hg002_chr1_maternal_862.1	N	NA
hg002_chr1_maternal_863	ZNF593OS	hg002_chr1_maternal_863.1	N	NA
hg002_chr1_maternal_864	ZNF593	hg002_chr1_maternal_864.1	N	NA
