gene_name	num_ref	chroms_ref	num_m	chroms_m	pat	num_p
TAL2	1	chr9	1	chr9_MATERNAL	1	chr9_PATERNAL
TP53TG3D	1	chr16	1	chr16_MATERNAL	1	chr16_PATERNAL
ATP6V0C	1	chr16	1	chr16_MATERNAL	1	chr16_PATERNAL
LYPD3	1	chr19	1	chr19_MATERNAL	1	chr19_PATERNAL
POLD2	1	chr7	1	chr7_MATERNAL	1	chr7_PATERNAL
DNAH17	1	chr17	1	chr17_MATERNAL	1	chr17_PATERNAL
KBTBD12	1	chr3	1	chr3_MATERNAL	1	chr3_PATERNAL
LOC124902050	1	chr8	1	chr8_MATERNAL	1	chr8_PATERNAL
FIBIN	1	chr11	1	chr11_MATERNAL	1	chr11_PATERNAL
VDR	1	chr12	1	chr12_MATERNAL	1	chr12_PATERNAL
ZDHHC17	1	chr12	1	chr12_MATERNAL	1	chr12_PATERNAL
CDPF1	1	chr22	1	chr22_MATERNAL	1	chr22_PATERNAL
OGFR	1	chr20	1	chr20_MATERNAL	1	chr20_PATERNAL
VAV3	1	chr1	1	chr1_MATERNAL	1	chr1_PATERNAL
MTHFD2L	1	chr4	1	chr4_MATERNAL	1	chr4_PATERNAL
ABCD1	1	chrX	1	chrX_MATERNAL	0	None
RBM17	1	chr10	1	chr10_MATERNAL	1	chr10_PATERNAL
CORO2A	1	chr9	1	chr9_MATERNAL	1	chr9_PATERNAL
MEF2C	1	chr5	1	chr5_MATERNAL	1	chr5_PATERNAL
CACUL1	1	chr10	1	chr10_MATERNAL	1	chr10_PATERNAL
RAB5B	1	chr12	1	chr12_MATERNAL	1	chr12_PATERNAL
CACNA1A	1	chr19	1	chr19_MATERNAL	1	chr19_PATERNAL
CDC23	1	chr5	1	chr5_MATERNAL	1	chr5_PATERNAL
INSL6	1	chr9	1	chr9_MATERNAL	1	chr9_PATERNAL
MRPS10	1	chr6	1	chr6_MATERNAL	1	chr6_PATERNAL
GRK5	1	chr10	1	chr10_MATERNAL	1	chr10_PATERNAL
NUTF2P4	1	chr1	1	chr1_MATERNAL	1	chr1_PATERNAL
PIGK	1	chr1	1	chr1_MATERNAL	1	chr1_PATERNAL
STXBP4	1	chr17	1	chr17_MATERNAL	1	chr17_PATERNAL
LARP6	1	chr15	1	chr15_MATERNAL	1	chr15_PATERNAL
IQCF6	1	chr3	1	chr3_MATERNAL	1	chr3_PATERNAL
LOC102723623	1	chr15	2	chr15_MATERNAL,chr15_MATERNAL	1	chr15_PATERNAL
IL6R	1	chr1	1	chr1_MATERNAL	1	chr1_PATERNAL
PTGR1	1	chr9	1	chr9_MATERNAL	1	chr9_PATERNAL
POC1A	1	chr3	1	chr3_MATERNAL	1	chr3_PATERNAL
LOC124901650	1	chr7	1	chr7_MATERNAL	1	chr7_PATERNAL
GOLGA6L2	1	chr15	1	chr15_MATERNAL	1	chr15_PATERNAL
AKAP9	1	chr7	1	chr7_MATERNAL	1	chr7_PATERNAL
GPAT4	1	chr8	1	chr8_MATERNAL	1	chr8_PATERNAL
CYP27A1	1	chr2	1	chr2_MATERNAL	1	chr2_PATERNAL
SEC24B	1	chr4	1	chr4_MATERNAL	1	chr4_PATERNAL
NDUFAF5	1	chr20	1	chr20_MATERNAL	1	chr20_PATERNAL
TRAF1	1	chr9	1	chr9_MATERNAL	1	chr9_PATERNAL
ATP1A1	1	chr1	1	chr1_MATERNAL	1	chr1_PATERNAL
CNOT6	1	chr5	1	chr5_MATERNAL	1	chr5_PATERNAL
STX1A	1	chr7	1	chr7_MATERNAL	1	chr7_PATERNAL
KRTAP5-2	1	chr11	1	chr11_MATERNAL	1	chr11_PATERNAL
ANKRD13B	1	chr17	1	chr17_MATERNAL	1	chr17_PATERNAL
EIF6	1	chr20	1	chr20_MATERNAL	1	chr20_PATERNAL
FUCA1	1	chr1	1	chr1_MATERNAL	1	chr1_PATERNAL
FUS	1	chr16	1	chr16_MATERNAL	1	chr16_PATERNAL
GPAA1	1	chr8	1	chr8_MATERNAL	1	chr8_PATERNAL
FOXQ1	1	chr6	1	chr6_MATERNAL	1	chr6_PATERNAL
FSHR	1	chr2	1	chr2_MATERNAL	1	chr2_PATERNAL
SNTA1	1	chr20	1	chr20_MATERNAL	1	chr20_PATERNAL
SLC5A12	1	chr11	1	chr11_MATERNAL	1	chr11_PATERNAL
BEST2	1	chr19	1	chr19_MATERNAL	1	chr19_PATERNAL
PPT2	1	chr6	1	chr6_MATERNAL	1	chr6_PATERNAL
KRTAP13-2	1	chr21	1	chr21_MATERNAL	1	chr21_PATERNAL
PNPLA3	1	chr22	1	chr22_MATERNAL	1	chr22_PATERNAL
CMC2	1	chr16	1	chr16_MATERNAL	1	chr16_PATERNAL
HES7	1	chr17	1	chr17_MATERNAL	1	chr17_PATERNAL
GPR37	1	chr7	1	chr7_MATERNAL	1	chr7_PATERNAL
DDC	1	chr7	1	chr7_MATERNAL	1	chr7_PATERNAL
DTNBP1	1	chr6	1	chr6_MATERNAL	1	chr6_PATERNAL
MANBA	1	chr4	1	chr4_MATERNAL	1	chr4_PATERNAL
KRT17	1	chr17	1	chr17_MATERNAL	1	chr17_PATERNAL
C4orf48	1	chr4	1	chr4_MATERNAL	1	chr4_PATERNAL
OXR1	1	chr8	1	chr8_MATERNAL	1	chr8_PATERNAL
LOC105372440	1	chr19	1	chr19_MATERNAL	1	chr19_PATERNAL
ARHGAP5	1	chr14	1	chr14_MATERNAL	1	chr14_PATERNAL
THEM5	1	chr1	1	chr1_MATERNAL	1	chr1_PATERNAL
UGT1A4	1	chr2	1	chr2_MATERNAL	1	chr2_PATERNAL
SUMO1	1	chr2	1	chr2_MATERNAL	1	chr2_PATERNAL
AP3D1	1	chr19	1	chr19_MATERNAL	1	chr19_PATERNAL
PRH1-TAS2R14	1	chr12	1	chr12_MATERNAL	1	chr12_PATERNAL
GALNT10	1	chr5	1	chr5_MATERNAL	1	chr5_PATERNAL
UCHL3	1	chr13	1	chr13_MATERNAL	1	chr13_PATERNAL
CT45A5	1	chrX	1	chrX_MATERNAL	0	None
TNFRSF8	1	chr1	1	chr1_MATERNAL	1	chr1_PATERNAL
INA	1	chr10	1	chr10_MATERNAL	1	chr10_PATERNAL
OR5T2	1	chr11	1	chr11_MATERNAL	1	chr11_PATERNAL
LOC124908044	1	chr2	1	chr2_MATERNAL	1	chr2_PATERNAL
HK3	1	chr5	1	chr5_MATERNAL	1	chr5_PATERNAL
SLC8A2	1	chr19	1	chr19_MATERNAL	1	chr19_PATERNAL
BTC	1	chr4	1	chr4_MATERNAL	1	chr4_PATERNAL
RNF135	1	chr17	1	chr17_MATERNAL	1	chr17_PATERNAL
MYMK	1	chr9	1	chr9_MATERNAL	1	chr9_PATERNAL
PRELP	1	chr1	1	chr1_MATERNAL	1	chr1_PATERNAL
DENND6B	1	chr22	1	chr22_MATERNAL	1	chr22_PATERNAL
GSTT2B	1	chr22	1	chr22_MATERNAL	2	chr22_PATERNAL,chr22_PATERNAL
OCSTAMP	1	chr20	1	chr20_MATERNAL	1	chr20_PATERNAL
SMAD1	1	chr4	1	chr4_MATERNAL	1	chr4_PATERNAL
SLC14A2	1	chr18	1	chr18_MATERNAL	1	chr18_PATERNAL
LOC124906086	1	chr2	1	chr2_MATERNAL	1	chr2_PATERNAL
FRG2C	2	chr3,chr22	2	chr22_MATERNAL,chr3_MATERNAL	4	chr1_PATERNAL,chr22_PATERNAL,chr13_PATERNAL,chr3_PATERNAL
PPIB	1	chr15	1	chr15_MATERNAL	1	chr15_PATERNAL
COX6A1	1	chr12	1	chr12_MATERNAL	1	chr12_PATERNAL
SRSF2	1	chr17	1	chr17_MATERNAL	1	chr17_PATERNAL
C3orf20	1	chr3	1	chr3_MATERNAL	1	chr3_PATERNAL
NANP	1	chr20	1	chr20_MATERNAL	1	chr20_PATERNAL
PCDHB10	1	chr5	1	chr5_MATERNAL	1	chr5_PATERNAL
GGT5	1	chr22	1	chr22_MATERNAL	1	chr22_PATERNAL
ALPK1	1	chr4	1	chr4_MATERNAL	1	chr4_PATERNAL
OR8B8	1	chr11	1	chr11_MATERNAL	1	chr11_PATERNAL
TCN2	1	chr22	1	chr22_MATERNAL	1	chr22_PATERNAL
PRAMEF33	1	chr1	1	chr1_MATERNAL	1	chr1_PATERNAL
ASB18	1	chr2	1	chr2_MATERNAL	1	chr2_PATERNAL
NBPF8	1	chr1	1	chr1_MATERNAL	1	chr1_PATERNAL
INPP5J	1	chr22	1	chr22_MATERNAL	1	chr22_PATERNAL
DOK6	1	chr18	1	chr18_MATERNAL	1	chr18_PATERNAL
CDCP2	1	chr1	1	chr1_MATERNAL	1	chr1_PATERNAL
BTLA	1	chr3	1	chr3_MATERNAL	1	chr3_PATERNAL
KCNH5	1	chr14	1	chr14_MATERNAL	1	chr14_PATERNAL
PSMD10	1	chrX	1	chrX_MATERNAL	0	None
SLC25A10	1	chr17	1	chr17_MATERNAL	1	chr17_PATERNAL
TNKS2	1	chr10	1	chr10_MATERNAL	1	chr10_PATERNAL
MYOZ1	1	chr10	1	chr10_MATERNAL	1	chr10_PATERNAL
PDZD7	1	chr10	1	chr10_MATERNAL	1	chr10_PATERNAL
BOLA2B	1	chr16	1	chr16_MATERNAL	1	chr16_PATERNAL
ACSS3	1	chr12	1	chr12_MATERNAL	1	chr12_PATERNAL
ETFDH	1	chr4	1	chr4_MATERNAL	1	chr4_PATERNAL
TGIF2-RAB5IF	1	chr20	1	chr20_MATERNAL	1	chr20_PATERNAL
SPEF1	1	chr20	1	chr20_MATERNAL	1	chr20_PATERNAL
ARHGEF25	1	chr12	1	chr12_MATERNAL	1	chr12_PATERNAL
RBP4	1	chr10	1	chr10_MATERNAL	1	chr10_PATERNAL
FMNL1	1	chr17	1	chr17_MATERNAL	1	chr17_PATERNAL
KRTAP4-1	1	chr17	1	chr17_MATERNAL	1	chr17_PATERNAL
APC2	1	chr19	1	chr19_MATERNAL	1	chr19_PATERNAL
GNAI1	1	chr7	1	chr7_MATERNAL	1	chr7_PATERNAL
FHDC1	1	chr4	1	chr4_MATERNAL	1	chr4_PATERNAL
LETM1	1	chr4	1	chr4_MATERNAL	1	chr4_PATERNAL
RLIM	1	chrX	1	chrX_MATERNAL	0	None
DDX43	1	chr6	1	chr6_MATERNAL	1	chr6_PATERNAL
RBBP4	1	chr1	1	chr1_MATERNAL	1	chr1_PATERNAL
ZDHHC23	1	chr3	1	chr3_MATERNAL	1	chr3_PATERNAL
NCOA1	1	chr2	1	chr2_MATERNAL	1	chr2_PATERNAL
ELFN1	1	chr7	1	chr7_MATERNAL	1	chr7_PATERNAL
SHOX2	1	chr3	1	chr3_MATERNAL	1	chr3_PATERNAL
C1orf198	1	chr1	1	chr1_MATERNAL	1	chr1_PATERNAL
NLRP13	1	chr19	1	chr19_MATERNAL	1	chr19_PATERNAL
TBCEL-TECTA	1	chr11	1	chr11_MATERNAL	1	chr11_PATERNAL
TTC27	1	chr2	1	chr2_MATERNAL	1	chr2_PATERNAL
SAMSN1	1	chr21	1	chr21_MATERNAL	1	chr21_PATERNAL
LRRC46	1	chr17	1	chr17_MATERNAL	1	chr17_PATERNAL
OR52N2	1	chr11	1	chr11_MATERNAL	1	chr11_PATERNAL
OR4A47	1	chr11	1	chr11_MATERNAL	1	chr11_PATERNAL
SPRR2E	1	chr1	1	chr1_MATERNAL	1	chr1_PATERNAL
CHDH	1	chr3	1	chr3_MATERNAL	1	chr3_PATERNAL
SERF2	1	chr15	1	chr15_MATERNAL	1	chr15_PATERNAL
LUM	1	chr12	1	chr12_MATERNAL	1	chr12_PATERNAL
TSSK2	1	chr22	1	chr22_MATERNAL	1	chr22_PATERNAL
IFI30	1	chr19	1	chr19_MATERNAL	1	chr19_PATERNAL
TFDP3	1	chrX	1	chrX_MATERNAL	0	None
NEURL1B	1	chr5	1	chr5_MATERNAL	1	chr5_PATERNAL
TCIRG1	1	chr11	1	chr11_MATERNAL	1	chr11_PATERNAL
BCLAF1	1	chr6	1	chr6_MATERNAL	1	chr6_PATERNAL
CA6	1	chr1	1	chr1_MATERNAL	1	chr1_PATERNAL
FPGS	1	chr9	1	chr9_MATERNAL	1	chr9_PATERNAL
SLC16A9	1	chr10	1	chr10_MATERNAL	1	chr10_PATERNAL
PCDH15	1	chr10	1	chr10_MATERNAL	1	chr10_PATERNAL
NAALADL2	1	chr3	1	chr3_MATERNAL	1	chr3_PATERNAL
B4GALT5	1	chr20	1	chr20_MATERNAL	1	chr20_PATERNAL
RAD51	1	chr15	1	chr15_MATERNAL	1	chr15_PATERNAL
RUVBL1	1	chr3	1	chr3_MATERNAL	1	chr3_PATERNAL
ASIC3	1	chr7	1	chr7_MATERNAL	1	chr7_PATERNAL
LOC105379417	1	chr22	1	chr22_MATERNAL	1	chr13_PATERNAL
NCAPD3	1	chr11	1	chr11_MATERNAL	1	chr11_PATERNAL
OR52R1	1	chr11	1	chr11_MATERNAL	1	chr11_PATERNAL
RGS7BP	1	chr5	1	chr5_MATERNAL	1	chr5_PATERNAL
PPP1R11	1	chr6	1	chr6_MATERNAL	1	chr6_PATERNAL
RDH12	1	chr14	1	chr14_MATERNAL	1	chr14_PATERNAL
RBM47	1	chr4	1	chr4_MATERNAL	1	chr4_PATERNAL
SMG6	1	chr17	1	chr17_MATERNAL	1	chr17_PATERNAL
C22orf39	1	chr22	1	chr22_MATERNAL	1	chr22_PATERNAL
FKBPL	1	chr6	1	chr6_MATERNAL	1	chr6_PATERNAL
ITGA10	1	chr1	1	chr1_MATERNAL	1	chr1_PATERNAL
ZCCHC4	1	chr4	1	chr4_MATERNAL	1	chr4_PATERNAL
ADAMTS6	1	chr5	1	chr5_MATERNAL	1	chr5_PATERNAL
MCCD1	1	chr6	1	chr6_MATERNAL	1	chr6_PATERNAL
CMTR2	1	chr16	1	chr16_MATERNAL	1	chr16_PATERNAL
OR6K2	1	chr1	1	chr1_MATERNAL	1	chr1_PATERNAL
KIFC3	1	chr16	1	chr16_MATERNAL	1	chr16_PATERNAL
BLOC1S1	1	chr12	1	chr12_MATERNAL	1	chr12_PATERNAL
PARP3	1	chr3	1	chr3_MATERNAL	1	chr3_PATERNAL
ZNF862	1	chr7	1	chr7_MATERNAL	1	chr7_PATERNAL
CKAP2	1	chr13	1	chr13_MATERNAL	1	chr13_PATERNAL
PRRC2A	1	chr6	1	chr6_MATERNAL	1	chr6_PATERNAL
AKAP4	1	chrX	1	chrX_MATERNAL	0	None
AGMO	1	chr7	1	chr7_MATERNAL	1	chr7_PATERNAL
JPH4	1	chr14	1	chr14_MATERNAL	1	chr14_PATERNAL
ANO5	1	chr11	1	chr11_MATERNAL	1	chr11_PATERNAL
FAM180A	1	chr7	1	chr7_MATERNAL	1	chr7_PATERNAL
CT47A1	1	chrX	2	chrX_MATERNAL,chrX_MATERNAL	0	None
FRRS1	1	chr1	1	chr1_MATERNAL	1	chr1_PATERNAL
FOXS1	1	chr20	1	chr20_MATERNAL	1	chr20_PATERNAL
B4GALNT3	1	chr12	1	chr12_MATERNAL	1	chr12_PATERNAL
EVX1	1	chr7	1	chr7_MATERNAL	1	chr7_PATERNAL
CPT1B	1	chr22	1	chr22_MATERNAL	1	chr22_PATERNAL
UPK3B	1	chr7	1	chr7_MATERNAL	1	chr7_PATERNAL
LY6G5C	1	chr6	1	chr6_MATERNAL	1	chr6_PATERNAL
LIMS1	1	chr2	1	chr2_MATERNAL	1	chr2_PATERNAL
XAGE3	1	chrX	1	chrX_MATERNAL	0	None
RPS11	1	chr19	1	chr19_MATERNAL	1	chr19_PATERNAL
CXorf49	1	chrX	1	chrX_MATERNAL	0	None
KRTAP4-3	1	chr17	1	chr17_MATERNAL	1	chr17_PATERNAL
LRATD2	1	chr8	1	chr8_MATERNAL	1	chr8_PATERNAL
EFCAB8	1	chr20	1	chr20_MATERNAL	1	chr20_PATERNAL
NKAIN1	1	chr1	1	chr1_MATERNAL	1	chr1_PATERNAL
ADAM9	1	chr8	1	chr8_MATERNAL	1	chr8_PATERNAL
NUSAP1	1	chr15	1	chr15_MATERNAL	1	chr15_PATERNAL
ACOT2	1	chr14	1	chr14_MATERNAL	1	chr14_PATERNAL
CCP110	1	chr16	1	chr16_MATERNAL	1	chr16_PATERNAL
ESRRB	1	chr14	1	chr14_MATERNAL	1	chr14_PATERNAL
TRIM63	1	chr1	1	chr1_MATERNAL	1	chr1_PATERNAL
ZNF846	1	chr19	1	chr19_MATERNAL	1	chr19_PATERNAL
TUBGCP5	1	chr15	1	chr15_MATERNAL	1	chr15_PATERNAL
LOC102724971	1	chr15	1	chr15_MATERNAL	1	chr15_PATERNAL
PCDHGB7	1	chr5	1	chr5_MATERNAL	1	chr5_PATERNAL
SPPL2B	1	chr19	1	chr19_MATERNAL	1	chr19_PATERNAL
ARHGEF16	1	chr1	1	chr1_MATERNAL	1	chr1_PATERNAL
SLC35F2	1	chr11	1	chr11_MATERNAL	1	chr11_PATERNAL
CTNNBIP1	1	chr1	1	chr1_MATERNAL	1	chr1_PATERNAL
LCNL1	1	chr9	1	chr9_MATERNAL	1	chr9_PATERNAL
ABCC11	1	chr16	1	chr16_MATERNAL	1	chr16_PATERNAL
HLA-DPB1	1	chr6	1	chr6_MATERNAL	1	chr6_PATERNAL
GRAMD2A	1	chr15	1	chr15_MATERNAL	1	chr15_PATERNAL
GRIPAP1	1	chrX	1	chrX_MATERNAL	0	None
ZNF610	1	chr19	1	chr19_MATERNAL	1	chr19_PATERNAL
JAK3	1	chr19	1	chr19_MATERNAL	1	chr19_PATERNAL
LIMK2	1	chr22	1	chr22_MATERNAL	1	chr22_PATERNAL
SLC9A3R1	1	chr17	1	chr17_MATERNAL	1	chr17_PATERNAL
CDKL3	1	chr5	1	chr5_MATERNAL	1	chr5_PATERNAL
MT1X	1	chr16	1	chr16_MATERNAL	1	chr16_PATERNAL
C12orf43	1	chr12	1	chr12_MATERNAL	1	chr12_PATERNAL
TMEM272	1	chr13	1	chr13_MATERNAL	1	chr13_PATERNAL
ADGRG5	1	chr16	1	chr16_MATERNAL	1	chr16_PATERNAL
BOLA3	1	chr2	1	chr2_MATERNAL	1	chr2_PATERNAL
CYP4Z1	1	chr1	1	chr1_MATERNAL	1	chr1_PATERNAL
RRAGA	1	chr9	1	chr9_MATERNAL	1	chr9_PATERNAL
FAM53C	1	chr5	1	chr5_MATERNAL	1	chr5_PATERNAL
NAT1	1	chr8	1	chr8_MATERNAL	1	chr8_PATERNAL
H2BU1	1	chr1	1	chr1_MATERNAL	1	chr1_PATERNAL
LRRTM2	1	chr5	1	chr5_MATERNAL	1	chr5_PATERNAL
SPATA32	1	chr17	1	chr17_MATERNAL	1	chr17_PATERNAL
SCYL1	1	chr11	1	chr11_MATERNAL	1	chr11_PATERNAL
TFEB	1	chr6	1	chr6_MATERNAL	1	chr6_PATERNAL
PPP1R2B	1	chr5	1	chr5_MATERNAL	1	chr5_PATERNAL
ABCB6	1	chr2	1	chr2_MATERNAL	1	chr2_PATERNAL
HNRNPA1	1	chr12	1	chr12_MATERNAL	1	chr12_PATERNAL
